SAFRA,LOCAL,TRATAMENTO,DISTANCIA,PARCELA,PLANTA,ALTURA,V_0G,V_1G,V_2G,V_3G,V_4G,PROD_TOTAL
21-22,ANHUMAS,SIK+BEE,12.5,A,1,118,0,22,22,30,0,4477
21-22,ANHUMAS,SIK+BEE,12.5,A,2,124,0,0,13,16,0,NA
21-22,ANHUMAS,SIK+BEE,12.5,A,3,125,0,10,21,17,0,NA
21-22,ANHUMAS,SIK+BEE,12.5,A,4,110,0,12,11,15,0,NA
21-22,ANHUMAS,SIK+BEE,12.5,A,5,134,0,4,12,32,0,NA
21-22,ANHUMAS,SIK+BEE,12.5,A,6,128,0,5,14,17,1,NA
21-22,ANHUMAS,SIK+BEE,12.5,A,7,127,0,5,8,24,0,NA
21-22,ANHUMAS,SIK+BEE,12.5,A,8,134,0,6,15,16,0,NA
21-22,ANHUMAS,SIK+BEE,12.5,A,9,116,0,9,31,21,0,NA
21-22,ANHUMAS,SIK+BEE,12.5,A,10,126,2,7,16,19,2,NA
21-22,ANHUMAS,SIK+BEE,12.5,A,11,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,A,12,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,A,13,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,A,14,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,A,15,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,A,16,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,A,17,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,A,18,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,B,1,123,0,14,20,27,1,4485
21-22,ANHUMAS,SIK+BEE,12.5,B,2,119,1,7,19,10,1,NA
21-22,ANHUMAS,SIK+BEE,12.5,B,3,126,1,8,20,32,0,NA
21-22,ANHUMAS,SIK+BEE,12.5,B,4,131,2,18,19,19,2,NA
21-22,ANHUMAS,SIK+BEE,12.5,B,5,131,1,10,20,20,0,NA
21-22,ANHUMAS,SIK+BEE,12.5,B,6,122,0,5,12,15,0,NA
21-22,ANHUMAS,SIK+BEE,12.5,B,7,123,1,27,33,22,0,NA
21-22,ANHUMAS,SIK+BEE,12.5,B,8,125,0,8,12,15,0,NA
21-22,ANHUMAS,SIK+BEE,12.5,B,9,123,0,17,37,34,1,NA
21-22,ANHUMAS,SIK+BEE,12.5,B,10,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,B,11,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,B,12,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,B,13,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,B,14,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,B,15,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,B,16,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,B,17,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,B,18,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,C,1,129,0,11,23,28,0,4483
21-22,ANHUMAS,SIK+BEE,12.5,C,2,116,1,8,18,10,0,NA
21-22,ANHUMAS,SIK+BEE,12.5,C,3,123,2,9,23,18,0,NA
21-22,ANHUMAS,SIK+BEE,12.5,C,4,119,0,3,17,21,1,NA
21-22,ANHUMAS,SIK+BEE,12.5,C,5,123,0,8,16,28,1,NA
21-22,ANHUMAS,SIK+BEE,12.5,C,6,132,1,6,12,25,0,NA
21-22,ANHUMAS,SIK+BEE,12.5,C,7,125,0,8,14,23,0,NA
21-22,ANHUMAS,SIK+BEE,12.5,C,8,130,0,7,16,14,0,NA
21-22,ANHUMAS,SIK+BEE,12.5,C,9,121,3,10,15,21,0,NA
21-22,ANHUMAS,SIK+BEE,12.5,C,10,108,0,4,14,21,0,NA
21-22,ANHUMAS,SIK+BEE,12.5,C,11,120,0,7,12,16,0,NA
21-22,ANHUMAS,SIK+BEE,12.5,C,12,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,C,13,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,C,14,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,C,15,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,C,16,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,C,17,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,C,18,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,D,1,117,0,10,15,8,0,4689
21-22,ANHUMAS,SIK+BEE,12.5,D,2,123,0,17,8,15,0,NA
21-22,ANHUMAS,SIK+BEE,12.5,D,3,130,0,12,15,13,1,NA
21-22,ANHUMAS,SIK+BEE,12.5,D,4,137,2,11,27,22,1,NA
21-22,ANHUMAS,SIK+BEE,12.5,D,5,126,0,1,7,37,1,NA
21-22,ANHUMAS,SIK+BEE,12.5,D,6,129,0,2,17,25,3,NA
21-22,ANHUMAS,SIK+BEE,12.5,D,7,128,0,9,23,19,0,NA
21-22,ANHUMAS,SIK+BEE,12.5,D,8,140,0,9,15,16,0,NA
21-22,ANHUMAS,SIK+BEE,12.5,D,9,142,0,1,17,30,1,NA
21-22,ANHUMAS,SIK+BEE,12.5,D,10,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,D,11,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,D,12,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,D,13,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,D,14,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,D,15,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,D,16,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,D,17,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,D,18,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,E,1,123,0,10,22,28,0,4473
21-22,ANHUMAS,SIK+BEE,12.5,E,2,150,0,12,22,30,3,NA
21-22,ANHUMAS,SIK+BEE,12.5,E,3,137,0,5,11,21,0,NA
21-22,ANHUMAS,SIK+BEE,12.5,E,4,117,0,5,9,15,0,NA
21-22,ANHUMAS,SIK+BEE,12.5,E,5,163,1,8,16,19,0,NA
21-22,ANHUMAS,SIK+BEE,12.5,E,6,159,2,5,25,17,1,NA
21-22,ANHUMAS,SIK+BEE,12.5,E,7,140,2,2,4,22,1,NA
21-22,ANHUMAS,SIK+BEE,12.5,E,8,107,1,5,3,16,0,NA
21-22,ANHUMAS,SIK+BEE,12.5,E,9,137,0,5,17,26,2,NA
21-22,ANHUMAS,SIK+BEE,12.5,E,10,135,1,9,19,15,0,NA
21-22,ANHUMAS,SIK+BEE,12.5,E,11,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,E,12,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,E,13,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,E,14,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,E,15,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,E,16,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,E,17,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,E,18,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,F,1,140,0,7,33,17,0,4453
21-22,ANHUMAS,SIK+BEE,12.5,F,2,119,1,3,11,27,0,NA
21-22,ANHUMAS,SIK+BEE,12.5,F,3,133,1,8,17,25,0,NA
21-22,ANHUMAS,SIK+BEE,12.5,F,4,120,0,2,16,17,0,NA
21-22,ANHUMAS,SIK+BEE,12.5,F,5,134,0,8,5,12,0,NA
21-22,ANHUMAS,SIK+BEE,12.5,F,6,129,0,5,10,16,1,NA
21-22,ANHUMAS,SIK+BEE,12.5,F,7,133,0,2,27,18,0,NA
21-22,ANHUMAS,SIK+BEE,12.5,F,8,124,0,3,14,17,0,NA
21-22,ANHUMAS,SIK+BEE,12.5,F,9,132,1,7,16,12,1,NA
21-22,ANHUMAS,SIK+BEE,12.5,F,10,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,F,11,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,F,12,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,F,13,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,F,14,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,F,15,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,F,16,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,F,17,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,12.5,F,18,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,25,A,1,111,0,4,13,7,0,4118
21-22,ANHUMAS,SIK+BEE,25,A,2,130,0,2,9,11,0,NA
21-22,ANHUMAS,SIK+BEE,25,A,3,145,2,16,17,19,0,NA
21-22,ANHUMAS,SIK+BEE,25,A,4,138,4,17,32,19,0,NA
21-22,ANHUMAS,SIK+BEE,25,A,5,140,2,14,15,13,0,NA
21-22,ANHUMAS,SIK+BEE,25,A,6,129,0,14,21,21,0,NA
21-22,ANHUMAS,SIK+BEE,25,A,7,123,0,6,7,6,0,NA
21-22,ANHUMAS,SIK+BEE,25,A,8,112,3,7,27,27,0,NA
21-22,ANHUMAS,SIK+BEE,25,A,9,134,0,6,13,24,1,NA
21-22,ANHUMAS,SIK+BEE,25,A,10,136,0,5,13,14,0,NA
21-22,ANHUMAS,SIK+BEE,25,A,11,106,1,6,8,6,0,NA
21-22,ANHUMAS,SIK+BEE,25,A,12,124,1,6,5,4,0,NA
21-22,ANHUMAS,SIK+BEE,25,A,13,163,2,6,19,11,0,NA
21-22,ANHUMAS,SIK+BEE,25,A,14,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,25,A,15,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,25,A,16,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,25,A,17,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,25,A,18,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,25,B,1,121,0,4,12,16,2,4144
21-22,ANHUMAS,SIK+BEE,25,B,2,129,1,2,6,11,0,NA
21-22,ANHUMAS,SIK+BEE,25,B,3,147,0,2,14,18,0,NA
21-22,ANHUMAS,SIK+BEE,25,B,4,139,0,3,11,27,2,NA
21-22,ANHUMAS,SIK+BEE,25,B,5,128,0,1,5,8,0,NA
21-22,ANHUMAS,SIK+BEE,25,B,6,125,0,1,10,19,0,NA
21-22,ANHUMAS,SIK+BEE,25,B,7,116,1,14,16,7,0,NA
21-22,ANHUMAS,SIK+BEE,25,B,8,136,1,10,10,31,1,NA
21-22,ANHUMAS,SIK+BEE,25,B,9,137,0,3,15,23,0,NA
21-22,ANHUMAS,SIK+BEE,25,B,10,120,3,4,15,16,2,NA
21-22,ANHUMAS,SIK+BEE,25,B,11,125,1,5,16,19,1,NA
21-22,ANHUMAS,SIK+BEE,25,B,12,134,0,3,12,13,0,NA
21-22,ANHUMAS,SIK+BEE,25,B,13,133,1,7,17,26,0,NA
21-22,ANHUMAS,SIK+BEE,25,B,14,133,2,4,18,22,1,NA
21-22,ANHUMAS,SIK+BEE,25,B,15,138,1,1,15,11,0,NA
21-22,ANHUMAS,SIK+BEE,25,B,16,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,25,B,17,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,25,B,18,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,25,C,1,131,2,6,9,8,0,4078
21-22,ANHUMAS,SIK+BEE,25,C,2,117,1,7,6,3,0,NA
21-22,ANHUMAS,SIK+BEE,25,C,3,119,2,11,7,13,0,NA
21-22,ANHUMAS,SIK+BEE,25,C,4,104,0,14,10,11,0,NA
21-22,ANHUMAS,SIK+BEE,25,C,5,134,1,8,15,8,1,NA
21-22,ANHUMAS,SIK+BEE,25,C,6,115,1,3,6,2,0,NA
21-22,ANHUMAS,SIK+BEE,25,C,7,136,1,16,21,12,0,NA
21-22,ANHUMAS,SIK+BEE,25,C,8,97,1,8,6,4,0,NA
21-22,ANHUMAS,SIK+BEE,25,C,9,120,0,10,11,6,0,NA
21-22,ANHUMAS,SIK+BEE,25,C,10,128,0,9,9,9,0,NA
21-22,ANHUMAS,SIK+BEE,25,C,11,146,0,6,20,21,0,NA
21-22,ANHUMAS,SIK+BEE,25,C,12,124,0,3,11,6,0,NA
21-22,ANHUMAS,SIK+BEE,25,C,13,129,1,6,11,7,0,NA
21-22,ANHUMAS,SIK+BEE,25,C,14,130,0,9,12,12,0,NA
21-22,ANHUMAS,SIK+BEE,25,C,15,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,25,C,16,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,25,C,17,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,25,C,18,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,25,D,1,151,2,20,38,31,1,4095
21-22,ANHUMAS,SIK+BEE,25,D,2,139,2,5,12,10,0,NA
21-22,ANHUMAS,SIK+BEE,25,D,3,144,0,5,12,12,0,NA
21-22,ANHUMAS,SIK+BEE,25,D,4,143,1,7,11,15,1,NA
21-22,ANHUMAS,SIK+BEE,25,D,5,126,2,6,10,28,0,NA
21-22,ANHUMAS,SIK+BEE,25,D,6,138,1,5,12,19,6,NA
21-22,ANHUMAS,SIK+BEE,25,D,7,122,0,9,18,23,0,NA
21-22,ANHUMAS,SIK+BEE,25,D,8,122,3,2,14,15,0,NA
21-22,ANHUMAS,SIK+BEE,25,D,9,141,1,11,12,1,1,NA
21-22,ANHUMAS,SIK+BEE,25,D,10,155,0,8,15,1,0,NA
21-22,ANHUMAS,SIK+BEE,25,D,11,123,0,2,20,20,0,NA
21-22,ANHUMAS,SIK+BEE,25,D,12,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,25,D,13,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,25,D,14,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,25,D,15,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,25,D,16,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,25,D,17,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,25,D,18,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,25,E,1,115,0,3,12,16,3,4263
21-22,ANHUMAS,SIK+BEE,25,E,2,134,1,14,16,30,1,NA
21-22,ANHUMAS,SIK+BEE,25,E,3,131,0,2,12,36,0,NA
21-22,ANHUMAS,SIK+BEE,25,E,4,130,0,5,11,6,0,NA
21-22,ANHUMAS,SIK+BEE,25,E,5,149,0,3,15,17,0,NA
21-22,ANHUMAS,SIK+BEE,25,E,6,140,3,5,8,7,0,NA
21-22,ANHUMAS,SIK+BEE,25,E,7,135,0,2,14,25,0,NA
21-22,ANHUMAS,SIK+BEE,25,E,8,85,1,5,17,15,0,NA
21-22,ANHUMAS,SIK+BEE,25,E,9,110,0,2,6,10,0,NA
21-22,ANHUMAS,SIK+BEE,25,E,10,123,0,2,12,11,0,NA
21-22,ANHUMAS,SIK+BEE,25,E,11,144,0,3,14,20,0,NA
21-22,ANHUMAS,SIK+BEE,25,E,12,134,0,1,12,21,1,NA
21-22,ANHUMAS,SIK+BEE,25,E,13,129,6,8,15,17,0,NA
21-22,ANHUMAS,SIK+BEE,25,E,14,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,25,E,15,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,25,E,16,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,25,E,17,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,25,E,18,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,25,F,1,131,1,6,23,20,0,4249
21-22,ANHUMAS,SIK+BEE,25,F,2,126,2,12,19,15,0,NA
21-22,ANHUMAS,SIK+BEE,25,F,3,141,0,13,22,31,0,NA
21-22,ANHUMAS,SIK+BEE,25,F,4,110,1,8,24,24,0,NA
21-22,ANHUMAS,SIK+BEE,25,F,5,133,2,7,16,13,0,NA
21-22,ANHUMAS,SIK+BEE,25,F,6,125,0,2,8,7,0,NA
21-22,ANHUMAS,SIK+BEE,25,F,7,124,3,16,31,30,0,NA
21-22,ANHUMAS,SIK+BEE,25,F,8,125,3,7,20,20,1,NA
21-22,ANHUMAS,SIK+BEE,25,F,9,143,2,5,24,34,0,NA
21-22,ANHUMAS,SIK+BEE,25,F,10,132,0,9,19,12,1,NA
21-22,ANHUMAS,SIK+BEE,25,F,11,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,25,F,12,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,25,F,13,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,25,F,14,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,25,F,15,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,25,F,16,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,25,F,17,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,25,F,18,NA,NA,NA,NA,NA,NA,NA
21-22,ANHUMAS,SIK+BEE,50,A,1,123,0,7,12,12,0,4068
21-22,ANHUMAS,SIK+BEE,50,A,2,152,1,8,17,21,2,NA
21-22,ANHUMAS,SIK+BEE,50,A,3,124,2,9,13,17,1,NA
21-22,ANHUMAS,SIK+BEE,50,A,4,131,0,19,16,11,0,NA
21-22,ANHUMAS,SIK+BEE,50,A,5,129,0,6,11,21,0,NA
21-22,ANHUMAS,SIK+BEE,50,A,6,118,1,3,21,30,0,NA
21-22,ANHUMAS,SIK+BEE,50,A,7,123,1,6,8,18,0,NA
21-22,ANHUMAS,SIK+BEE,50,A,8,126,1,6,23,20,0,NA
21-22,ANHUMAS,SIK+BEE,50,A,9,135,2,8,17,17,0,NA
21-22,ANHUMAS,SIK+BEE,50,A,10,126,0,8,11,18,1,NA
21-22,ANHUMAS,SIK+BEE,50,A,11,126,1,3,13,17,1,NA
