SAFRA,LOCAL,DATA,CONDICAO,TRATAMENTO,DISTANCIA,REPETICAO,APIS,NÇO_APIS,TOTAL ABELHAS
21-22,ANHUMAS,03/12/2021,SOL,SIK+BEE,12.5,A,4,0,4
21-22,ANHUMAS,NA,SOL,SIK+BEE,12.5,B,3,0,3
21-22,ANHUMAS,NA,SOL,SIK+BEE,12.5,C,4,1,5
21-22,ANHUMAS,NA,SOL,SIK+BEE,12.5,D,3,0,3
21-22,ANHUMAS,NA,SOL,SIK+BEE,12.5,E,4,0,4
21-22,ANHUMAS,NA,SOL,SIK+BEE,12.5,F,4,0,4
21-22,ANHUMAS,NA,SOL,SIK+BEE,25,A,3,1,4
21-22,ANHUMAS,NA,SOL,SIK+BEE,25,B,3,0,3
21-22,ANHUMAS,NA,SOL,SIK+BEE,25,C,3,0,3
21-22,ANHUMAS,NA,SOL,SIK+BEE,25,D,4,0,4
21-22,ANHUMAS,NA,SOL,SIK+BEE,25,E,4,0,4
21-22,ANHUMAS,NA,SOL,SIK+BEE,25,F,4,0,4
21-22,ANHUMAS,NA,SOL,SIK+BEE,50,A,1,0,1
21-22,ANHUMAS,NA,SOL,SIK+BEE,50,B,3,0,3
21-22,ANHUMAS,NA,SOL,SIK+BEE,50,C,2,0,2
21-22,ANHUMAS,NA,SOL,SIK+BEE,50,D,2,0,2
21-22,ANHUMAS,NA,SOL,SIK+BEE,50,E,2,0,2
21-22,ANHUMAS,NA,SOL,SIK+BEE,50,F,4,0,4
21-22,ANHUMAS,NA,SOL,SIK+BEE,100,A,1,0,1
21-22,ANHUMAS,NA,SOL,SIK+BEE,100,B,1,0,1
21-22,ANHUMAS,NA,SOL,SIK+BEE,100,C,2,1,3
21-22,ANHUMAS,NA,SOL,SIK+BEE,100,D,1,1,2
21-22,ANHUMAS,NA,SOL,SIK+BEE,100,E,1,0,1
21-22,ANHUMAS,NA,SOL,SIK+BEE,100,F,0,1,1
21-22,ANHUMAS,NA,SOL,SIK+BEE,200,A,0,1,1
21-22,ANHUMAS,NA,SOL,SIK+BEE,200,B,0,1,1
21-22,ANHUMAS,NA,SOL,SIK+BEE,200,C,0,0,0
21-22,ANHUMAS,NA,SOL,SIK+BEE,200,D,0,0,0
21-22,ANHUMAS,NA,SOL,SIK+BEE,200,E,0,0,0
21-22,ANHUMAS,NA,SOL,SIK+BEE,200,F,0,0,0
21-22,ANHUMAS,NA,SOL,SIK   ,12.5 ,A,2,0,2
21-22,ANHUMAS,NA,SOL,SIK   ,12.5 ,B,1,0,1
21-22,ANHUMAS,NA,SOL,SIK   ,12.5 ,C,1,0,1
21-22,ANHUMAS,NA,SOL,SIK   ,12.5 ,D,1,0,1
21-22,ANHUMAS,NA,SOL,SIK   ,12.5 ,E,1,0,1
21-22,ANHUMAS,NA,SOL,SIK   ,12.5 ,F,1,0,1
21-22,ANHUMAS,NA,SOL,SIK   ,25,A,1,0,1
21-22,ANHUMAS,NA,SOL,SIK   ,25,B,1,0,1
21-22,ANHUMAS,NA,SOL,SIK   ,25,C,0,0,0
21-22,ANHUMAS,NA,SOL,SIK   ,25,D,1,0,1
21-22,ANHUMAS,NA,SOL,SIK   ,25,E,0,0,0
21-22,ANHUMAS,NA,SOL,SIK   ,25,F,0,0,0
21-22,ANHUMAS,NA,SOL,SIK   ,50,A,0,0,0
21-22,ANHUMAS,NA,SOL,SIK   ,50,B,0,1,1
21-22,ANHUMAS,NA,SOL,SIK   ,50,C,0,1,1
21-22,ANHUMAS,NA,SOL,SIK   ,50,D,0,0,0
21-22,ANHUMAS,NA,SOL,SIK   ,50,E,0,0,0
21-22,ANHUMAS,NA,SOL,SIK   ,50,F,0,0,0
21-22,ANHUMAS,NA,SOL,SIK   ,100,A,0,0,0
21-22,ANHUMAS,NA,SOL,SIK   ,100,B,0,0,0
21-22,ANHUMAS,NA,SOL,SIK   ,100,C,0,0,0
21-22,ANHUMAS,NA,SOL,SIK   ,100,D,0,0,0
21-22,ANHUMAS,NA,SOL,SIK   ,100,E,0,0,0
21-22,ANHUMAS,NA,SOL,SIK   ,100,F,0,0,0
21-22,ANHUMAS,NA,SOL,SIK   ,200,A,0,0,0
21-22,ANHUMAS,NA,SOL,SIK   ,200,B,0,0,0
21-22,ANHUMAS,NA,SOL,SIK   ,200,C,0,0,0
21-22,ANHUMAS,NA,SOL,SIK   ,200,D,0,0,0
21-22,ANHUMAS,NA,SOL,SIK   ,200,E,0,0,0
21-22,ANHUMAS,NA,SOL,SIK   ,200,F,0,0,0
