TRAT	DAP	REP	Umidade	Condutividade	Altura	Caule	Folhas	Flor.m	Flor.f	Frutos	Bojo	Pesc	Comp.frutos	Peso.frutos				
CAPI	20	1	13.2	386	6.30	4.16	2	NA	NA	NA	NA	NA	NA	NA				
CAPI	20	1	13.0	382	7.30	5.03	3	NA	NA	NA	NA	NA	NA	NA				
CAPI	20	1	12.2	366	3.70	1.32	2	NA	NA	NA	NA	NA	NA	NA				
CAPI	20	1	13.6	394	12.50	7.65	4	NA	NA	NA	NA	NA	NA	NA				
CAPI	20	1	13.1	384	12.70	7.24	4	NA	NA	NA	NA	NA	NA	NA				
CAPI	20	1	13.3	388	13.30	6.35	4	NA	NA	NA	NA	NA	NA	NA				
CAPI	20	1	12.2	366	9.70	4.61	3	NA	NA	NA	NA	NA	NA	NA				
CAPI	20	1	12.4	370	10.30	7.47	3	NA	NA	NA	NA	NA	NA	NA				
CAPI	20	1	12.4	369	12.70	7.04	4	NA	NA	NA	NA	NA	NA	NA				
CAPI	20	1	12.1	363	10.60	5.82	3	NA	NA	NA	NA	NA	NA	NA				
CAPI	20	2	12.1	363	13.30	4.50	6	NA	NA	NA	NA	NA	NA	NA				
CAPI	20	2	11.5	352	12.20	8.14	4	NA	NA	NA	NA	NA	NA	NA				
CAPI	20	2	11.5	351	9.10	5.90	4	NA	NA	NA	NA	NA	NA	NA				
CAPI	20	2	13.9	399	14.30	8.60	4	NA	NA	NA	NA	NA	NA	NA				
CAPI	20	2	13.0	381	7.30	4.80	1	NA	NA	NA	NA	NA	NA	NA				
CAPI	20	2	13.2	385	6.30	3.40	3	NA	NA	NA	NA	NA	NA	NA				
CAPI	20	2	13.3	387	9.40	7.23	4	NA	NA	NA	NA	NA	NA	NA				
CAPI	20	2	13.6	394	10.40	6.64	3	NA	NA	NA	NA	NA	NA	NA				
CAPI	20	2	13.1	384	8.50	7.99	4	NA	NA	NA	NA	NA	NA	NA				
CAPI	20	2	13.1	384	10.20	6.60	3	NA	NA	NA	NA	NA	NA	NA				
CAPI	20	3	13.0	382	13.00	7.70	3	NA	NA	NA	NA	NA	NA	NA				
CAPI	20	3	12.7	375	10.00	7.20	4	NA	NA	NA	NA	NA	NA	NA				
CAPI	20	3	12.1	363	9.50	6.70	4	NA	NA	NA	NA	NA	NA	NA				
CAPI	20	3	11.8	358	5.50	3.50	4	NA	NA	NA	NA	NA	NA	NA				
CAPI	20	3	13.1	384	7.50	7.81	4	NA	NA	NA	NA	NA	NA	NA				
CAPI	20	3	12.7	365	9.30	6.60	4	NA	NA	NA	NA	NA	NA	NA				
CAPI	20	3	12.6	364	10.40	6.70	5	NA	NA	NA	NA	NA	NA	NA				
CAPI	20	3	13.0	382	11.00	5.70	5	NA	NA	NA	NA	NA	NA	NA				
CAPI	20	3	12.1	364	9.30	5.10	4	NA	NA	NA	NA	NA	NA	NA				
CAPI	20	3	12.5	362	9.00	3.17	2	NA	NA	NA	NA	NA	NA	NA				
CAPI	20	4	12.7	366	15.50	7.19	4	NA	NA	NA	NA	NA	NA	NA				
CAPI	20	4	12.9	380	9.50	6.05	3	NA	NA	NA	NA	NA	NA	NA				
CAPI	20	4	13.6	393	17.80	8.67	4	NA	NA	NA	NA	NA	NA	NA				
CAPI	20	4	13.7	396	10.00	5.31	4	NA	NA	NA	NA	NA	NA	NA				
CAPI	20	4	12.4	369	18.50	8.48	5	NA	NA	NA	NA	NA	NA	NA				
CAPI	20	4	12.1	364	15.00	7.90	3	NA	NA	NA	NA	NA	NA	NA				
CAPI	20	4	12.6	364	10.70	5.80	3	NA	NA	NA	NA	NA	NA	NA				
CAPI	20	4	12.7	365	11.30	6.80	4	NA	NA	NA	NA	NA	NA	NA				
CAPI	20	4	12.4	370	7.70	4.64	3	NA	NA	NA	NA	NA	NA	NA				
CAPI	20	4	12.9	379	12.50	6.75	3	NA	NA	NA	NA	NA	NA	NA				
CONTROL	20	1	11.8	358	10.00	6.00	3	NA	NA	NA	NA	NA	NA	NA				
CONTROL	20	1	12.7	363	9.00	6.00	3	NA	NA	NA	NA	NA	NA	NA				
CONTROL	20	1	11.9	360	8.00	5.00	2	NA	NA	NA	NA	NA	NA	NA				
CONTROL	20	1	12.6	364	10.00	6.00	4	NA	NA	NA	NA	NA	NA	NA				
CONTROL	20	1	12.1	364	8.00	5.00	3	NA	NA	NA	NA	NA	NA	NA				
CONTROL	20	1	12.3	368	9.00	5.00	3	NA	NA	NA	NA	NA	NA	NA				
CONTROL	20	1	11.9	360	9.00	5.00	4	NA	NA	NA	NA	NA	NA	NA				
CONTROL	20	1	12.3	368	9.00	6.00	4	NA	NA	NA	NA	NA	NA	NA				
CONTROL	20	1	11.9	360	4.00	4.00	3	NA	NA	NA	NA	NA	NA	NA				
