trat;rep;cut;epada;pp;plac;epiab;limbo;meso
T1;1;3.2267;27.06;65.2328;192.3367;16.4467;304.3028;257.5695
T1;2;2.75;26.0067;50.4016;168.9567;15.5367;263.6516;219.3583
T1;3;1.8667;26.86;62.8675;215.1433;19.1667;325.9042;278.0109
T1;4;2.63;24.48;47.456;166.05;16.03;256.646;213.506
T1;5;2.81;27.5933;84.9643;230.23;21.9367;367.5343;315.1943
T2;1;3.4067;22.53;59.031;179.85;14.2867;279.1043;238.881
T2;2;3.4067;23.4433;54.3922;173.99;13.43;268.6622;228.3822
T2;3;2.99;24.7867;59.2529;199.3933;16.1567;302.5796;258.6463
T2;4;3.17;26.1067;57.3448;166.4233;19.1267;272.1715;223.7681
T2;5;2.27;25.88;47.9633;145.7867;13.7967;235.6966;193.7499
T3;1;NA;NA;NA;NA;NA;NA;NA
T3;2;3.135;25.62;67.5501;189.925;17.51;303.7401;257.4751
T3;3;3.3467;25.99;82.4094;218.07;15.5733;345.3894;300.4794
T3;4;2.57;24.98;67.6486;199.63;15.3833;310.2119;267.2786
T3;5;2.03;26.4967;50.106;171.5467;17.3367;267.516;221.6527
T4;1;2.93;24.03;69.3749;190.6133;15.3433;302.2916;259.9882
T4;2;2.69;28.6667;58.7318;155.68;18.1867;263.9551;214.4118
T4;3;2.93;31.1367;88.3164;246.7633;19.8367;388.9831;335.0798
T4;4;1.85;25.9133;37.7966;143.4667;18.68;227.7066;181.2632
T4;5;2.51;24.3;40.499;134.43;15.6267;217.3656;174.929
T5;1;2.63;27.2033;54.5684;129.1533;14.4367;227.9917;183.7217
T5;2;3.11;23.81;59.1114;161.2933;14.6533;261.9781;220.4047
T5;3;2.33;31.5;69.0863;194.5067;15.9933;313.4163;263.593
T5;4;2.69;28.12;59.5895;178.15;17.23;285.7795;237.7395
T5;5;NA;NA;NA;NA;NA;NA;NA
T6;1;NA;NA;NA;NA;NA;NA;NA
T6;2;2.87;24.7867;49.6183;156.7167;18.4433;252.4349;206.3349
T6;3;2.7733;21.675;54.58;178.02;17.175;274.2233;232.6
T6;4;2.15;25.4833;69.4075;152.99;16.97;267.0009;222.3975
T6;5;2.69;25.4367;72.2787;175.7;17.3867;293.4921;247.9787
T7;1;2.15;31.38;43.0386;192.3133;22.71;291.5919;235.3519
T7;2;2.51;23.44;58.98;150;18.13;253.06;208.98
T7;3;2.81;29.3;88.5646;245.7867;19.5333;385.9946;334.3512
T7;4;2.63;22.4633;52.02;132.8467;15.0167;224.9766;184.8666
T7;5;2.6967;23.26;52.5263;151.1;15.3967;244.9796;203.6263
T8;1;3.17;25.1533;64.3204;158.9733;16;267.6171;223.2938
T8;2;3.5267;29.9533;66.925;143.47;17.2167;261.0917;210.395
T8;3;2.15;24.4233;50.9895;145.0567;15.87;238.4895;196.0461
T8;4;2.87;26.7667;98.2891;183.7467;13.0467;324.7191;282.0358
T8;5;2.93;21.7333;61.863;144.8133;13.92;245.2597;206.6764
T9;1;2.69;20.39;54.0549;136.8833;14.41;228.4282;190.9382
T9;2;2.5767;23.93;48.1045;131.99;14.05;220.6512;180.0945
T9;3;1.8533;22.5867;53.6068;178.8733;13.6733;270.5935;232.4802
T9;4;NA;NA;NA;NA;NA;NA;NA
T9;5;NA;NA;NA;NA;NA;NA;NA
T10;1;2.63;22.2233;43.7208;177.05;17.7533;263.3775;220.7708
T10;2;2.8667;31.54;70.3287;206.5533;16.82;328.1087;276.882
T10;3;3.05;26.01;55.5779;179.4867;17.41;281.5346;235.0646
T10;4;2.87;28.835;54.0192;167.765;19.275;272.7642;221.7842
T10;5;2.69;28.615;59.2827;156.505;15.83;262.9227;215.7877
T11;1;2.8067;31.99;52.8543;185.1033;19.4133;292.1677;237.9577
T11;2;2.58;22.8367;58.7086;163.7367;16.9767;264.8386;222.4453
T11;3;NA;NA;NA;NA;NA;NA;NA
T11;4;2.36;30.0033;52.4634;181.1967;15.9933;282.0168;233.6601
T11;5;NA;NA;NA;NA;NA;NA;NA
T12;1;3.05;28.55;56.288;172.1233;19.4633;279.4747;228.4113
T12;2;2.93;29.33;46.429;145.5933;19.29;243.5723;192.0223
T12;3;2.63;23.08;64.6556;135.0433;17.37;242.7789;199.6989
T12;4;2.33;25.1933;56.2094;156.2867;18.71;258.7294;212.496
T12;5;2.75;21;87.3096;173.6267;14.5533;299.2396;260.9362
T13;1;2.15;30.4033;52.6213;173.26;20.1467;278.5813;225.8813
T13;2;2.6967;26.37;56.7456;131.15;16.36;233.3222;187.8956
T13;3;2.33;13.19;31.87;58.24;9.16;114.79;90.11
T13;4;2.33;13.92;44.1718;63.6133;10.01;134.0452;107.7852
T13;5;2.69;28.8367;64.8159;218.68;21.0033;336.0259;283.4959
T14;1;2.54;23.1367;58.6572;179.6067;16.85;280.7906;238.2639
T14;2;2.4067;29.3033;71.3113;201.83;17.5633;322.4147;273.1413
T14;3;2.4567;25.0433;49.4706;139.0967;18.45;234.5172;188.5672
T14;4;2.15;23.81;44.2493;132.11;15.5933;217.9126;176.3593
T14;5;2.45;10.7433;44.8735;83.5133;7.81;149.3901;128.3868
T15;1;2.33;28.6967;84.0483;177.1667;18.1767;310.4183;261.2149
T15;2;2.69;28.205;75.7628;205.13;17.765;329.5528;280.8928
T15;3;2.27;25.7633;51.8348;156.6567;18.8;255.3248;208.4914
T15;4;2.45;26.4933;65.6713;173.9933;17.46;286.068;239.6646
T15;5;NA;NA;NA;NA;NA;NA;NA
T16;1;NA;NA;NA;NA;NA;NA;NA
T16;2;NA;NA;NA;NA;NA;NA;NA
T16;3;2.63;28.1467;50.9988;147.0733;16.73;245.5788;198.0721
T16;4;2.51;25.21;60.4655;144.2033;17.2133;249.6022;204.6689
T16;5;2.87;22.6867;77.7843;199.7567;15.71;318.8076;277.5409
T17;1;NA;NA;NA;NA;NA;NA;NA
T17;2;3.5267;34.4433;74.4136;224.91;16.48;353.7736;299.3236
T17;3;2.51;31.38;56.7241;147.8667;21.6433;260.1241;204.5907
T17;4;2.93;31.0133;55.6284;196.3333;20.51;306.4151;251.9617
T17;5;2.63;29.4233;71.3415;191.5733;17.34;312.3082;262.9148
T18;1;3.05;25.28;58.24;137;13.92;237.49;195.24
T18;2;2.67;30.7667;52.6035;247.13;20.21;353.3802;299.7335
T18;3;2.3667;26.2767;50.7795;142.6167;22.71;244.7495;193.3962
T18;4;2.15;27.7167;43.61;253.8433;21.9767;349.2967;297.4534
T18;5;2.63;23.32;43.3031;136.2633;14.16;219.6765;179.5665
T19;1;2.63;32.92;56.4618;194.0167;16.97;302.9985;250.4785
T19;2;2.39;34.0667;76.0995;218.4367;21.74;352.7328;294.5362
T19;3;1.8533;28.2033;37.9269;170.5033;21.6467;260.1335;208.4302
T19;4;1.97;29.6933;49.6203;238.2167;20.2667;339.767;287.837
T19;5;NA;NA;NA;NA;NA;NA;NA
T20;1;3.2267;26.0067;57.0676;180.83;18.07;285.2009;237.8976
T20;2;2.87;30.7667;52.4721;162.0267;14.2867;262.4221;214.4988
T20;3;3.23;24.54;74.1548;223.93;16.6467;342.5014;298.0848
T20;4;2.51;26.13;60.2218;162.64;16.3567;267.8585;222.8618
T20;5;2.4333;25.7267;58.1644;132.8467;15.5067;234.6778;191.0111
T21;1;2.45;25.44;56.4408;166.69;16.48;267.5008;223.1308
T21;2;2.51;25.2733;61.294;132.7367;16.13;237.944;194.0307
T21;3;2.45;26.9867;59.5028;198.8333;20.2367;308.0095;258.3361
T21;4;2.09;22.94;46.6035;140.99;12.21;224.8335;187.5935
T21;5;2.51;22.6367;77.0177;194.1367;13.8;310.101;271.1544
T22;1;2.51;24.6633;58.0728;171.6733;20.07;276.9895;229.7462
T22;2;2.99;30.1567;51.7179;173.75;18.9267;277.5413;225.4679
T22;3;2.63;21.0767;53.4307;183.3967;13.4333;273.9673;236.8273
T22;4;2.27;27.7167;59.7131;187.3033;19.4167;296.4197;247.0164
T22;5;2.51;25.5133;47.1239;140.05;15.1367;230.3339;187.1739
