trat;concha;temp;mort;sensor
Boveril;1;2;1;1
Boveril;1;2;2;1
Boveril;1;3;1;1
Boveril;1;3;2;1
Boveril;1;3;3;1
Boveril;1;3;4;1
Boveril;1;3;5;1
Boveril;1;3;6;1
Boveril;1;3;7;1
Boveril;1;3;8;1
Boveril;1;3;9;1
Boveril;1;3;10;1
Boveril;1;3;11;1
Boveril;1;3;12;1
Boveril;1;3;13;1
Boveril;1;3;14;1
Boveril;1;3;15;1
Boveril;1;3;16;1
Boveril;1;3;17;1
Boveril;1;3;18;1
Boveril;1;4;1;1
Boveril;1;4;2;1
Boveril;1;4;3;1
Boveril;1;4;4;1
Boveril;1;4;5;1
Boveril;1;4;6;1
Boveril;1;4;7;1
Boveril;1;4;8;1
Boveril;1;4;9;1
Boveril;1;4;10;1
Boveril;1;4;11;1
Boveril;1;4;12;1
Boveril;1;4;13;1
Boveril;1;4;14;1
Boveril;1;4;15;1
Boveril;1;4;16;1
Boveril;1;4;17;1
Boveril;1;4;18;1
Boveril;1;4;19;1
Boveril;1;4;20;1
Boveril;1;4;21;1
Boveril;1;4;22;1
Boveril;1;4;23;1
Boveril;1;4;24;1
Boveril;1;4;25;1
Boveril;1;4;26;1
Boveril;1;4;27;1
Boveril;1;4;28;1
Boveril;1;4;29;1
Boveril;1;4;30;1
Boveril;1;4;31;1
Boveril;1;4;32;1
Boveril;1;4;33;1
Boveril;1;4;34;1
Boveril;1;4;35;1
Boveril;1;4;36;1
Boveril;1;4;37;1
Boveril;1;4;38;1
Boveril;1;4;39;1
Boveril;1;4;40;1
Boveril;1;4;41;1
Boveril;1;5;1;1
Boveril;1;5;2;1
Boveril;1;5;3;1
Boveril;1;5;4;1
Boveril;1;5;5;1
Boveril;1;5;6;1
Boveril;1;5;7;1
Boveril;1;5;8;1
Boveril;1;5;9;1
Boveril;1;5;10;1
Boveril;1;5;11;1
Boveril;1;5;12;1
Boveril;1;5;13;1
Boveril;1;6;1;1
Boveril;1;6;2;1
Boveril;1;6;3;1
Boveril;1;6;4;1
Boveril;1;6;5;1
Boveril;1;6;6;1
Boveril;1;6;7;1
Boveril;1;6;8;1
Boveril;1;6;9;1
Boveril;1;6;10;1
Boveril;1;6;11;1
Boveril;1;7;1;1
Boveril;1;7;1;0
Boveril;1;7;2;1
Boveril;1;7;2;0
Boveril;1;7;3;1
Boveril;1;7;3;0
Boveril;1;7;4;1
Boveril;1;7;4;0
Boveril;1;7;5;1
Boveril;1;7;5;0
Boveril;1;7;6;1
Boveril;1;7;6;0
Boveril;1;7;7;1
Boveril;1;7;8;1
Boveril;1;7;9;1
Boveril;2;2;1;1
Boveril;2;2;2;1
Boveril;2;2;3;1
Boveril;2;2;4;1
Boveril;2;2;5;1
Boveril;2;2;6;1
Boveril;2;2;7;1
Boveril;2;2;8;1
Boveril;2;2;9;1
Boveril;2;2;10;1
Boveril;2;3;1;1
Boveril;2;3;2;1
Boveril;2;3;3;1
