"trat","dia","censor"
"Boveril",2,1
"Boveril",2,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",4,1
"Boveril",4,1
"Boveril",4,1
"Boveril",4,1
"Boveril",4,1
"Boveril",4,1
"Boveril",4,1
"Boveril",4,1
"Boveril",4,1
"Boveril",4,1
"Boveril",4,1
"Boveril",4,1
"Boveril",4,1
"Boveril",4,1
"Boveril",4,1
"Boveril",4,1
"Boveril",4,1
"Boveril",4,1
"Boveril",4,1
"Boveril",4,1
"Boveril",4,1
"Boveril",4,1
"Boveril",4,1
"Boveril",4,1
"Boveril",4,1
"Boveril",4,1
"Boveril",4,1
"Boveril",4,1
"Boveril",4,1
"Boveril",4,1
"Boveril",4,1
"Boveril",4,1
"Boveril",4,1
"Boveril",4,1
"Boveril",4,1
"Boveril",4,1
"Boveril",4,1
"Boveril",4,1
"Boveril",4,1
"Boveril",4,1
"Boveril",4,1
"Boveril",5,1
"Boveril",5,1
"Boveril",5,1
"Boveril",5,1
"Boveril",5,1
"Boveril",5,1
"Boveril",5,1
"Boveril",5,1
"Boveril",5,1
"Boveril",5,1
"Boveril",5,1
"Boveril",5,1
"Boveril",5,1
"Boveril",6,1
"Boveril",6,1
"Boveril",6,1
"Boveril",6,1
"Boveril",6,1
"Boveril",6,1
"Boveril",6,1
"Boveril",6,1
"Boveril",6,1
"Boveril",6,1
"Boveril",6,1
"Boveril",7,1
"Boveril",7,0
"Boveril",7,1
"Boveril",7,0
"Boveril",7,1
"Boveril",7,0
"Boveril",7,1
"Boveril",7,0
"Boveril",7,1
"Boveril",7,0
"Boveril",7,1
"Boveril",7,0
"Boveril",7,1
"Boveril",7,1
"Boveril",7,1
"Boveril",2,1
"Boveril",2,1
"Boveril",2,1
"Boveril",2,1
"Boveril",2,1
"Boveril",2,1
"Boveril",2,1
"Boveril",2,1
"Boveril",2,1
"Boveril",2,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",3,1
"Boveril",4,1
"Boveril",4,1
"Boveril",5,1
"Boveril",5,1
"Boveril",5,1
"Boveril",5,1
"Boveril",5,1
"Boveril",5,1
"Boveril",5,1
"Boveril",5,1
"Boveril",5,1
"Boveril",5,1
"Boveril",7,0
"Boveril",7,0
"Control",1,1
"Control",1,1
"Control",3,1
"Control",3,1
"Control",3,1
"Control",3,1
"Control",4,1
"Control",4,1
"Control",4,1
"Control",4,1
"Control",4,1
"Control",4,1
"Control",4,1
"Control",4,1
"Control",4,1
"Control",4,1
"Control",5,1
"Control",5,1
"Control",6,1
"Control",6,1
"Control",6,1
"Control",6,1
"Control",6,1
"Control",6,1
"Control",7,1
"Control",7,0
"Control",7,1
"Control",7,0
"Control",7,1
"Control",7,0
"Control",7,1
"Control",7,0
"Control",7,1
"Control",7,0
"Control",7,1
"Control",7,0
"Control",7,1
"Control",7,0
"Control",7,1
"Control",7,0
"Control",7,1
"Control",7,0
"Control",7,1
"Control",7,0
"Control",7,1
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",3,1
"Control",3,1
"Control",3,1
"Control",3,1
"Control",3,1
"Control",3,1
"Control",3,1
"Control",3,1
"Control",3,1
"Control",3,1
"Control",3,1
"Control",3,1
"Control",3,1
"Control",3,1
"Control",3,1
"Control",3,1
"Control",3,1
"Control",3,1
"Control",3,1
"Control",3,1
"Control",4,1
"Control",4,1
"Control",4,1
"Control",4,1
"Control",5,1
"Control",5,1
"Control",5,1
"Control",5,1
"Control",5,1
"Control",5,1
"Control",6,1
"Control",6,1
"Control",6,1
"Control",6,1
"Control",7,1
"Control",7,0
"Control",7,1
"Control",7,0
"Control",7,1
"Control",7,0
"Control",7,1
"Control",7,0
"Control",7,1
"Control",7,0
"Control",7,1
"Control",7,0
"Control",7,1
"Control",7,0
"Control",7,1
"Control",7,0
"Control",7,1
"Control",7,0
"Control",7,1
"Control",7,0
"Control",7,1
"Control",7,0
"Control",7,1
"Control",7,0
"Control",7,1
"Control",7,0
"Control",7,1
"Control",7,0
"Control",7,1
"Control",7,0
"Control",7,1
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Control",7,0
"Metarril",2,1
"Metarril",2,1
"Metarril",2,1
"Metarril",2,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",4,1
"Metarril",4,1
"Metarril",4,1
"Metarril",4,1
"Metarril",4,1
"Metarril",4,1
"Metarril",4,1
"Metarril",4,1
"Metarril",4,1
"Metarril",4,1
"Metarril",4,1
"Metarril",4,1
"Metarril",4,1
"Metarril",4,1
"Metarril",4,1
"Metarril",4,1
"Metarril",4,1
"Metarril",4,1
"Metarril",4,1
"Metarril",4,1
"Metarril",4,1
"Metarril",4,1
"Metarril",4,1
"Metarril",4,1
"Metarril",4,1
"Metarril",4,1
"Metarril",4,1
"Metarril",4,1
"Metarril",4,1
"Metarril",4,1
"Metarril",4,1
"Metarril",4,1
"Metarril",4,1
"Metarril",4,1
"Metarril",4,1
"Metarril",4,1
"Metarril",4,1
"Metarril",4,1
"Metarril",4,1
"Metarril",4,1
"Metarril",4,1
"Metarril",4,1
"Metarril",4,1
"Metarril",4,1
"Metarril",4,1
"Metarril",4,1
"Metarril",5,1
"Metarril",5,1
"Metarril",5,1
"Metarril",5,1
"Metarril",5,1
"Metarril",5,1
"Metarril",5,1
"Metarril",5,1
"Metarril",6,1
"Metarril",6,1
"Metarril",6,1
"Metarril",6,1
"Metarril",6,1
"Metarril",6,1
"Metarril",2,1
"Metarril",2,1
"Metarril",2,1
"Metarril",2,1
"Metarril",2,1
"Metarril",2,1
"Metarril",2,1
"Metarril",2,1
"Metarril",2,1
"Metarril",2,1
"Metarril",2,1
"Metarril",2,1
"Metarril",2,1
"Metarril",2,1
"Metarril",2,1
"Metarril",2,1
"Metarril",2,1
"Metarril",2,1
"Metarril",2,1
"Metarril",2,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",3,1
"Metarril",4,1
"Metarril",4,1
"Metarril",4,1
"Metarril",4,1
"Metarril",5,1
"Metarril",5,1
"Metarril",5,1
"Metarril",5,1
"Metarril",5,1
"Metarril",5,1
"Metarril",5,1
"Metarril",5,1
"Metarril",5,1
"Metarril",5,1
