Conseguiu;Tempo;Alvo;Grupo
1;02:35;0;Testemunho
0;03:00;0;Testemunho
0;03:00;0;Testemunho
1;02:25;0;Testemunho
0;03:00;0;Testemunho
0;03:00;0;Testemunho
1;01:18;1;Testemunho
1;00:21;1;Testemunho
1;01:08;0;Testemunho
1;01:20;0;Testemunho
0;02:25;0;Testemunho
1;01:17;1;Testemunho
0;02:18;0;Testemunho
0;03:00;0;Testemunho
0;03:00;0;Testemunho
1;00:38;1;Testemunho
1;01:10;1;Testemunho
1;01:22;1;Testemunho
0;03:00;0;Testemunho
0;03:00;0;Testemunho
0;02:47;0;Testemunho
0;03:00;0;Testemunho
0;03:00;0;Testemunho
1;01:19;0;Testemunho
1;00:39;0;Testemunho
1;01:04;1;Testemunho
1;01:22;0;Simulador+Peca
1;01:03;0;Simulador+Peca
1;01:26;1;Simulador+Peca
0;03:00;0;Simulador+Peca
1;00:18;0;Simulador+Peca
1;01:11;0;Simulador+Peca
0;03:00;0;Simulador+Peca
1;00:44;0;Simulador+Peca
1;01:07;1;Simulador+Peca
1;00:11;0;Simulador+Peca
0;03:00;0;Simulador+Peca
1;00:32;1;Simulador+Peca
0;03:00;0;Simulador+Peca
1;00:07;0;Simulador+Peca
1;02:09;0;Simulador+Peca
1;00:26;1;Simulador+Peca
1;00:28;1;Simulador+Peca
1;01:25;0;Simulador+Peca
1;00:43;0;Simulador+Peca
1;00:47;0;Simulador+Peca
1;00:36;1;Simulador+Peca
1;00:40;1;Simulador+Peca
1;00:36;0;Simulador+Peca
0;03:00;0;Simulador+Peca
1;02:45;0;Simulador+Peca
1;01:57;0;Simulador+Peca
0;03:00;0;Peca+Simulador
1;00:31;1;Peca+Simulador
1;00:31;0;Peca+Simulador
1;01:16;0;Peca+Simulador
1;02:15;1;Peca+Simulador
1;00:56;1;Peca+Simulador
0;03:00;0;Peca+Simulador
0;03:00;0;Peca+Simulador
0;03:00;0;Peca+Simulador
1;00:22;1;Peca+Simulador
1;01:00;1;Peca+Simulador
1;01:25;0;Peca+Simulador
1;02:24;1;Peca+Simulador
1;01:24;1;Peca+Simulador
1;00:16;1;Peca+Simulador
1;03:22;0;Peca+Simulador
1;01:13;0;Peca+Simulador
1;00:28;0;Peca+Simulador
1;01:42;0;Peca+Simulador
1;00:52;1;Peca+Simulador
1;02:56;1;Peca+Simulador
0;03:00;0;Peca+Simulador
1;00:33;1;Peca+Simulador
1;01:35;0;Peca+Simulador
1;00:45;1;Peca+Simulador
0;03:00;0;Peca+Simulador
0;03:00;0;Peca+Simulador
