"STAND","COMPANY","SPACING","SPECIES","AGE","STATS","B2","B3","B4","B8"
"MA02ABOB7D","KLABIN","3.3x1.8","EUCALYPTUS",1,"MEAN",242.644503562945,359.120741092637,299.150346793349,2678.48456057007
"MA02ABOB7D","KLABIN","3.3x1.8","EUCALYPTUS",1,"SD",84.4774532841674,137.820659783062,159.463039171082,871.999472112845
"MA02ABOB7D","KLABIN","3.3x1.8","EUCALYPTUS",1,"MIN",102,115,87,901
"MA02ABOB7D","KLABIN","3.3x1.8","EUCALYPTUS",1,"MAX",534,867,886,4721
"MA02ABOB7D","KLABIN","3.3x1.8","EUCALYPTUS",1,"MEAN",184.256095011876,331.920057007126,278.110764845606,2695.24450356295
"MA02ABOB7D","KLABIN","3.3x1.8","EUCALYPTUS",1,"SD",85.1521126587558,146.768723073284,167.144179617614,880.700751205881
"MA02ABOB7D","KLABIN","3.3x1.8","EUCALYPTUS",1,"MIN",48,77,56,878
"MA02ABOB7D","KLABIN","3.3x1.8","EUCALYPTUS",1,"MAX",462,824,934,4725
"MA02ABOB7D","KLABIN","3.3x1.8","EUCALYPTUS",1,"MEAN",255.550840855107,384.439961995249,324.180731591449,2546.43844180523
"MA02ABOB7D","KLABIN","3.3x1.8","EUCALYPTUS",1,"SD",80.7778130390089,130.76801645274,152.945843126596,734.133270569395
"MA02ABOB7D","KLABIN","3.3x1.8","EUCALYPTUS",1,"MIN",104,144,118,940
"MA02ABOB7D","KLABIN","3.3x1.8","EUCALYPTUS",1,"MAX",538,903,914,4168
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MEAN",141.717362937802,266.97565870172,151.143948965432,3636.37349866177
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"SD",38.3910439106288,58.1241465803511,79.118007764124,764.429624481578
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MIN",75,136,75,1510
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MAX",543,765,1006,4768
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MEAN",99.4046082079676,236.150805815032,137.580782870648,3858.19470392079
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"SD",38.9310412036014,57.1947113366911,74.8750719450701,874.949949875052
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MIN",31,111,65,1415
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MAX",452,678,871,5116
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MEAN",110.854082236168,234.194282775142,144.142035399248,3653.91495849529
