classe,x,y,cive,exg,exgr,exr,gli,iaf,ngrdi,ri,tgi,varig,vdvi,r,g,b
2,499.458.032,7.655.633.888,0.565147502,0.450019852,0.383033045,0.631464102,0.358619286,0.80826184,0.689894111,0.310105888,0.754818435,0.743167817,0.751095137,0.471477785,0.507771875,0.471477785
2,4.994.570.145,7.655.634.235,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4.994.559.378,7.655.634.551,0.532415663,0.485939733,0.399719191,0.635901375,0.352659205,0.836107708,0.686676908,0.313323092,0.718909432,0.738834378,0.761196808,0.431393677,0.501687491,0.431393677
1,4.994.546.634,7.655.635.025,0.498455568,0.505474357,0.499724358,0.472248634,0.449501673,0.850706043,0.723671399,0.2763286,0.882520152,0.77348082,0.763927784,0.403024292,0.423565909,0.403024292
1,499.453.804,7.655.635.394,0.542678734,0.469574366,0.418368094,0.585937272,0.382318823,0.818343607,0.690986233,0.309013767,0.790301508,0.743091258,0.752270923,0.441154741,0.477879169,0.441154741
2,4.994.528.596,7655635.7,0.514052109,0.494088981,0.465011029,0.524579728,0.419954432,0.835451738,0.708951781,0.291048217,0.84777786,0.759904576,0.761037505,0.420824342,0.451853682,0.420824342
1,4.994.524.842,7.655.635.836,0.527562588,0.476879242,0.469393061,0.499850454,0.432896289,0.831838466,0.715419015,0.284580983,0.878324793,0.766534407,0.756767014,0.42733755,0.436136237,0.42733755
2,499.451.526,7.655.636.058,0.497333454,0.507378656,0.496898322,0.479260621,0.45102701,0.837763625,0.726431635,0.273568362,0.883808587,0.775792379,0.766095915,0.421065027,0.440456663,0.421065027
1,4.994.509.728,7.655.636.279,0.48952498,0.516420755,0.49850047,0.48512278,0.450596203,0.834887951,0.726567199,0.2734328,0.883248511,0.775839523,0.7698235,0.424163229,0.45040679,0.424163229
2,4.994.505.678,7.655.636.511,0.526340848,0.477409689,0.473701748,0.492497077,0.439392744,0.826112048,0.718449501,0.281550497,0.887317473,0.769172554,0.757505725,0.433359281,0.437648157,0.433359281
1,4.994.499.948,7.655.636.669,0.557988801,0.447534825,0.43539771,0.533415648,0.406732102,0.830545706,0.702505118,0.297494881,0.848420293,0.754537137,0.74852102,0.432385919,0.437095191,0.432385919
1,4.994.494.811,7.655.636.795,0.565683823,0.439738611,0.428538684,0.538364982,0.402486803,0.82805196,0.699610932,0.300389068,0.843855192,0.751873415,0.74574803,0.434669414,0.436335461,0.434669414
1,4.994.489.674,7.655.636.953,0.516004725,0.4877107,0.482595537,0.48626612,0.470265696,0.770271292,0.738619707,0.261380296,0.911542561,0.786433623,0.761313158,0.517385052,0.50093749,0.517385052
