"status","tempo","sexo","tratamento"
1,1,"f","A"
1,4,"f","A"
1,3,"f","A"
0,120,"m","A"
1,3,"f","A"
1,40,"m","A"
1,3,"m","A"
1,3,"m","A"
1,5,"f","A"
1,65,"f","A"
0,120,"m","A"
1,15,"m","A"
1,4,"m","A"
1,25,"f","A"
1,32,"m","A"
1,3,"f","A"
1,16,"m","A"
1,4,"f","A"
1,34,"f","A"
1,13,"f","A"
1,3,"f","A"
1,9,"m","A"
1,11,"f","A"
1,14,"f","A"
1,1,"f","A"
1,9,"f","A"
1,2,"m","A"
0,120,"m","A"
1,50,"f","A"
1,3,"m","A"
1,13,"f","A"
0,120,"m","A"
1,39,"f","A"
1,64,"m","A"
1,3,"m","A"
1,29,"f","A"
0,120,"f","A"
1,5,"f","A"
1,2,"f","A"
1,4,"m","A"
1,1,"f","A"
1,6,"m","A"
0,120,"m","A"
1,54,"f","A"
0,120,"f","A"
1,8,"f","A"
1,46,"f","A"
1,86,"m","A"
1,1,"f","A"
1,15,"f","A"
1,8,"m","A"
1,8,"f","A"
1,34,"f","A"
1,39,"f","A"
1,91,"f","A"
1,2,"m","A"
1,27,"m","A"
1,14,"f","A"
1,2,"m","A"
1,36,"f","A"
1,6,"f","B"
0,120,"m","B"
1,58,"m","B"
1,14,"f","B"
1,6,"f","B"
0,120,"m","B"
0,120,"f","B"
1,109,"f","B"
1,4,"f","B"
1,47,"f","B"
1,5,"m","B"
1,41,"f","B"
1,3,"f","B"
1,11,"f","B"
1,64,"f","B"
0,120,"m","B"
1,4,"m","B"
0,120,"f","B"
0,120,"m","B"
1,41,"m","B"
1,11,"m","B"
0,120,"m","B"
1,15,"f","B"
1,9,"m","B"
1,43,"m","B"
1,20,"m","B"
1,38,"f","B"
1,58,"f","B"
0,120,"m","B"
1,2,"f","B"
0,120,"m","B"
1,13,"m","B"
1,24,"f","B"
1,16,"m","B"
1,11,"m","B"
1,20,"f","B"
1,9,"f","B"
0,120,"m","B"
1,5,"f","B"
0,120,"f","B"
1,2,"f","B"
0,120,"m","B"
1,112,"m","B"
1,7,"f","B"
1,12,"m","B"
1,30,"m","B"
1,49,"f","B"
1,71,"f","B"
1,111,"f","B"
0,120,"m","B"
1,13,"m","B"
1,19,"m","B"
1,54,"m","B"
1,103,"f","B"
1,68,"f","B"
1,4,"m","B"
1,23,"m","B"
0,120,"m","B"
1,29,"f","B"
1,32,"m","B"
1,15,"f","C"
1,48,"m","C"
1,1,"f","C"
1,30,"f","C"
1,10,"f","C"
1,1,"m","C"
1,19,"m","C"
1,4,"f","C"
1,91,"f","C"
1,17,"f","C"
1,15,"m","C"
1,21,"f","C"
1,10,"m","C"
1,10,"m","C"
1,3,"m","C"
1,50,"m","C"
1,27,"m","C"
1,3,"m","C"
1,10,"m","C"
1,9,"f","C"
1,1,"m","C"
1,3,"m","C"
1,3,"m","C"
1,10,"f","C"
1,23,"m","C"
0,120,"m","C"
1,10,"m","C"
1,10,"f","C"
1,1,"m","C"
1,1,"m","C"
1,1,"f","C"
1,3,"m","C"
1,1,"f","C"
1,2,"m","C"
1,16,"f","C"
1,8,"f","C"
1,1,"f","C"
1,19,"f","C"
1,2,"f","C"
1,21,"f","C"
1,6,"f","C"
1,10,"m","C"
1,7,"m","C"
1,29,"m","C"
1,7,"f","C"
1,17,"m","C"
1,2,"f","C"
1,3,"f","C"
1,15,"m","C"
1,3,"f","C"
1,21,"m","C"
1,2,"m","C"
1,1,"m","C"
1,3,"m","C"
1,4,"f","C"
1,2,"f","C"
1,6,"f","C"
1,13,"m","C"
0,120,"m","C"
1,69,"m","C"
