Especie;Rep;Instar_IN;Instar_PS;Tentou_predar;Predou;Total_predacao;Forrageou;Parado;Tetou_levantar_concha;Levantou_concha;Sugou_liquido;Coletou_lixo
C_externa_1;R1;Instar_1;ovo_0;3;1;1;877;198;NA;NA;NA;NA
C_externa_1;R2;Instar_1;ovo_0;25;1;1;324;261;NA;NA;NA;NA
C_externa_1;R3;Instar_1;ovo_0;20;1;1;673;2;NA;NA;NA;NA
C_externa_1;R4;Instar_1;ovo_0;36;0;0;145;42;NA;NA;NA;NA
C_externa_1;R5;Instar_1;ovo_0;12;1;1;588;150;NA;NA;NA;NA
C_externa_1;R6;Instar_1;ovo_0;0;0;0;122;1097;NA;NA;NA;NA
C_externa_1;R7;Instar_1;ovo_0;1;0;0;704;565;NA;NA;NA;NA
C_externa_1;R8;Instar_1;ovo_0;10;1;1;746;141;NA;NA;NA;NA
C_externa_1;R9;Instar_1;ovo_0;0;0;0;917;318;NA;NA;NA;NA
C_externa_1;R10;Instar_1;ovo_0;14;0;0;196;0;NA;NA;NA;NA
C_externa_1;R11;Instar_1;ovo_0;2;0;0;711;486;NA;NA;NA;NA
C_externa_1;R12;Instar_1;ovo_0;0;0;0;310;886;NA;NA;NA;NA
C_externa_1;R13;Instar_1;ovo_0;0;0;0;1125;79;NA;NA;NA;NA
C_externa_1;R14;Instar_1;ovo_0;0;0;0;116;1092;NA;NA;NA;NA
C_externa_1;R15;Instar_1;ovo_0;0;0;0;332;867;NA;NA;NA;NA
C_externa_1;R1;Instar_2;ovo_0;32;1;2;673;14;NA;NA;NA;NA
C_externa_1;R2;Instar_2;ovo_0;0;0;0;315;899;NA;NA;NA;NA
C_externa_1;R3;Instar_2;ovo_0;0;0;0;176;1033;NA;NA;NA;NA
C_externa_1;R4;Instar_2;ovo_0;25;0;0;765;209;NA;NA;NA;NA
C_externa_1;R5;Instar_2;ovo_0;0;0;0;105;1128;NA;NA;NA;NA
C_externa_1;R6;Instar_2;ovo_0;2;0;0;707;482;NA;NA;NA;NA
C_externa_1;R7;Instar_2;ovo_0;2;0;0;533;677;NA;NA;NA;NA
C_externa_1;R8;Instar_2;ovo_0;35;1;2;616;11;NA;NA;NA;NA
C_externa_1;R9;Instar_2;ovo_0;0;0;0;1147;46;NA;NA;NA;NA
C_externa_1;R10;Instar_2;ovo_0;0;0;0;854;359;NA;NA;NA;NA
C_externa_1;R11;Instar_2;ovo_0;0;0;0;418;823;NA;NA;NA;NA
C_externa_1;R12;Instar_2;ovo_0;22;1;3;406;133;NA;NA;NA;NA
C_externa_1;R13;Instar_2;ovo_0;0;0;0;462;743;NA;NA;NA;NA
C_externa_1;R14;Instar_2;ovo_0;2;0;0;615;579;NA;NA;NA;NA
C_externa_1;R15;Instar_2;ovo_0;9;1;1;1022;75;NA;NA;NA;NA
C_externa_1;R1;Instar_3;ovo_0;54;1;1;799;14;NA;NA;NA;NA
C_externa_1;R2;Instar_3;ovo_0;57;1;7;434;0;NA;NA;NA;NA
C_externa_1;R3;Instar_3;ovo_0;26;0;0;1026;3;NA;NA;NA;NA
C_externa_1;R4;Instar_3;ovo_0;17;1;1;1094;3;NA;NA;NA;NA
C_externa_1;R5;Instar_3;ovo_0;18;1;1;1081;14;NA;NA;NA;NA
C_externa_1;R6;Instar_3;ovo_0;34;1;5;839;45;NA;NA;NA;NA
C_externa_1;R7;Instar_3;ovo_0;2;0;0;1058;116;NA;NA;NA;NA
C_externa_1;R8;Instar_3;ovo_0;0;0;0;71;1132;NA;NA;NA;NA
C_externa_1;R9;Instar_3;ovo_0;20;0;0;1089;45;NA;NA;NA;NA
C_externa_1;R10;Instar_3;ovo_0;25;1;2;889;227;NA;NA;NA;NA
C_externa_1;R11;Instar_3;ovo_0;6;1;1;999;139;NA;NA;NA;NA
C_externa_1;R12;Instar_3;ovo_0;65;1;1;769;35;NA;NA;NA;NA
C_externa_1;R13;Instar_3;ovo_0;36;1;9;475;4;NA;NA;NA;NA
C_externa_1;R14;Instar_3;ovo_0;6;0;0;1038;137;NA;NA;NA;NA
C_externa_1;R15;Instar_3;ovo_0;62;1;4;434;0;NA;NA;NA;NA
C_externa_1;R1;Instar_1;Instar_1;NA;1;6;1202;0;NA;NA;NA;NA
C_externa_1;R2;Instar_1;Instar_1;NA;0;0;313;888;NA;NA;NA;NA
C_externa_1;R3;Instar_1;Instar_1;NA;1;5;1202;0;NA;NA;NA;NA
C_externa_1;R4;Instar_1;Instar_1;NA;1;1;538;662;NA;NA;NA;NA
C_externa_1;R5;Instar_1;Instar_1;NA;1;3;1200;0;NA;NA;NA;NA
C_externa_1;R6;Instar_1;Instar_1;NA;1;3;1206;0;NA;NA;NA;NA
C_externa_1;R7;Instar_1;Instar_1;NA;1;5;1098;103;NA;NA;NA;NA
C_externa_1;R8;Instar_1;Instar_1;NA;1;2;1200;0;NA;NA;NA;NA
C_externa_1;R9;Instar_1;Instar_1;NA;1;3;408;795;NA;NA;NA;NA
C_externa_1;R10;Instar_1;Instar_1;NA;1;4;1206;0;NA;NA;NA;NA
C_externa_1;R11;Instar_1;Instar_1;NA;1;4;1200;0;NA;NA;NA;NA
C_externa_1;R12;Instar_1;Instar_1;NA;1;2;1190;10;NA;NA;NA;NA
C_externa_1;R13;Instar_1;Instar_1;NA;0;0;1200;0;NA;NA;NA;NA
C_externa_1;R14;Instar_1;Instar_1;NA;0;0;836;365;NA;NA;NA;NA
C_externa_1;R15;Instar_1;Instar_1;NA;0;0;1202;0;NA;NA;NA;NA
C_externa_1;R16;Instar_1;Instar_1;NA;0;0;438;762;NA;NA;NA;NA
C_externa_1;R17;Instar_1;Instar_1;NA;1;3;1200;0;NA;NA;NA;NA
C_externa_1;R18;Instar_1;Instar_1;NA;1;4;1205;0;NA;NA;NA;NA
C_externa_1;R19;Instar_1;Instar_1;NA;1;5;1203;0;NA;NA;NA;NA
C_externa_1;R20;Instar_1;Instar_1;NA;1;1;1202;0;NA;NA;NA;NA
C_externa_1;R1;Instar_2;Instar_1;NA;1;2;1197;3;NA;NA;NA;NA
C_externa_1;R2;Instar_2;Instar_1;NA;1;2;1200;0;NA;NA;NA;NA
C_externa_1;R3;Instar_2;Instar_1;NA;1;1;616;584;NA;NA;NA;NA
C_externa_1;R4;Instar_2;Instar_1;NA;1;3;46;1154;NA;NA;NA;NA
C_externa_1;R5;Instar_2;Instar_1;NA;1;1;753;447;NA;NA;NA;NA
C_externa_1;R6;Instar_2;Instar_1;NA;0;0;183;1017;NA;NA;NA;NA
C_externa_1;R7;Instar_2;Instar_1;NA;0;0;791;412;NA;NA;NA;NA
C_externa_1;R8;Instar_2;Instar_1;NA;1;3;289;911;NA;NA;NA;NA
C_externa_1;R9;Instar_2;Instar_1;NA;1;1;1107;93;NA;NA;NA;NA
C_externa_1;R10;Instar_2;Instar_1;NA;1;2;885;318;NA;NA;NA;NA
C_externa_1;R11;Instar_2;Instar_1;NA;0;0;67;1134;NA;NA;NA;NA
C_externa_1;R12;Instar_2;Instar_1;NA;1;1;885;317;NA;NA;NA;NA
C_externa_1;R13;Instar_2;Instar_1;NA;0;0;238;963;NA;NA;NA;NA
C_externa_1;R14;Instar_2;Instar_1;NA;0;0;212;988;NA;NA;NA;NA
C_externa_1;R15;Instar_2;Instar_1;NA;1;2;504;696;NA;NA;NA;NA
C_externa_1;R16;Instar_2;Instar_1;NA;0;0;545;656;NA;NA;NA;NA
C_externa_1;R17;Instar_2;Instar_1;NA;1;2;1201;0;NA;NA;NA;NA
C_externa_1;R18;Instar_2;Instar_1;NA;0;0;450;751;NA;NA;NA;NA
C_externa_1;R19;Instar_2;Instar_1;NA;1;1;1175;26;NA;NA;NA;NA
C_externa_1;R20;Instar_2;Instar_1;NA;0;0;615;585;NA;NA;NA;NA
C_externa_1;R1;Instar_3;Instar_1;NA;1;2;1200;0;NA;NA;NA;NA
C_externa_1;R2;Instar_3;Instar_1;NA;1;5;1158;42;NA;NA;NA;NA
C_externa_1;R3;Instar_3;Instar_1;NA;0;0;355;844;NA;NA;NA;NA
C_externa_1;R4;Instar_3;Instar_1;NA;1;5;1202;0;NA;NA;NA;NA
C_externa_1;R5;Instar_3;Instar_1;NA;0;0;62;1138;NA;NA;NA;NA
C_externa_1;R6;Instar_3;Instar_1;NA;1;5;1063;137;NA;NA;NA;NA
C_externa_1;R7;Instar_3;Instar_1;NA;1;1;566;639;NA;NA;NA;NA
C_externa_1;R8;Instar_3;Instar_1;NA;1;2;1150;51;NA;NA;NA;NA
C_externa_1;R9;Instar_3;Instar_1;NA;0;0;144;1057;NA;NA;NA;NA
C_externa_1;R10;Instar_3;Instar_1;NA;1;1;1002;198;NA;NA;NA;NA
C_externa_1;R11;Instar_3;Instar_1;NA;1;2;1200;0;NA;NA;NA;NA
C_externa_1;R12;Instar_3;Instar_1;NA;1;6;1200;0;NA;NA;NA;NA
C_externa_1;R13;Instar_3;Instar_1;NA;0;0;1200;0;NA;NA;NA;NA
C_externa_1;R14;Instar_3;Instar_1;NA;0;0;163;1037;NA;NA;NA;NA
C_externa_1;R15;Instar_3;Instar_1;NA;1;2;613;587;NA;NA;NA;NA
C_externa_1;R16;Instar_3;Instar_1;NA;1;1;1200;0;NA;NA;NA;NA
C_externa_1;R17;Instar_3;Instar_1;NA;0;0;343;857;NA;NA;NA;NA
C_externa_1;R18;Instar_3;Instar_1;NA;1;6;1192;8;NA;NA;NA;NA
C_externa_1;R19;Instar_3;Instar_1;NA;1;3;1200;0;NA;NA;NA;NA
C_externa_1;R20;Instar_3;Instar_1;NA;1;5;1200;0;NA;NA;NA;NA
C_externa_1;R1;Instar_1;2Instar_3;NA;0;0;1128;73;0;0;0;NA
C_externa_1;R2;Instar_1;2Instar_3;NA;0;0;984;0;5;0;216;NA
C_externa_1;R3;Instar_1;2Instar_3;NA;0;0;698;506;0;0;0;NA
C_externa_1;R4;Instar_1;2Instar_3;NA;0;0;463;737;0;0;0;NA
C_externa_1;R5;Instar_1;2Instar_3;NA;0;0;356;847;0;0;0;NA
C_externa_1;R6;Instar_1;2Instar_3;NA;0;0;1122;78;1;0;0;NA
C_externa_1;R7;Instar_1;2Instar_3;NA;0;0;1106;97;0;0;0;NA
C_externa_1;R8;Instar_1;2Instar_3;NA;0;0;698;502;1;0;0;NA
C_externa_1;R9;Instar_1;2Instar_3;NA;0;0;259;942;1;0;0;NA
C_externa_1;R10;Instar_1;2Instar_3;NA;0;0;1107;0;1;0;98;NA
C_externa_1;R11;Instar_1;2Instar_3;NA;0;0;750;57;3;0;395;NA
C_externa_1;R12;Instar_1;2Instar_3;NA;0;0;1124;77;0;0;0;NA
C_externa_1;R13;Instar_1;2Instar_3;NA;0;0;1057;144;0;0;0;NA
C_externa_1;R14;Instar_1;2Instar_3;NA;0;0;829;12;1;0;363;NA
C_externa_1;R15;Instar_1;2Instar_3;NA;0;0;785;416;0;0;0;NA
C_externa_1;R16;Instar_1;2Instar_3;NA;0;0;962;199;0;0;42;NA
C_externa_1;R17;Instar_1;2Instar_3;NA;0;0;1203;0;1;0;0;NA
C_externa_1;R18;Instar_1;2Instar_3;NA;0;0;1085;118;0;0;0;NA
C_externa_1;R19;Instar_1;2Instar_3;NA;0;0;1200;0;0;0;0;NA
C_externa_1;R20;Instar_1;2Instar_3;NA;0;0;756;445;0;0;0;NA
C_externa_1;R1;Instar_2;2Instar_3;NA;0;0;1165;40;1;0;0;NA
C_externa_1;R2;Instar_2;2Instar_3;NA;1;1;1203;0;7;0;0;NA
C_externa_1;R3;Instar_2;2Instar_3;NA;0;0;770;431;1;0;0;NA
C_externa_1;R4;Instar_2;2Instar_3;NA;0;0;127;1072;0;0;0;NA
C_externa_1;R5;Instar_2;2Instar_3;NA;0;0;1035;170;0;0;0;NA
C_externa_1;R6;Instar_2;2Instar_3;NA;1;3;942;98;4;0;160;NA
C_externa_1;R7;Instar_2;2Instar_3;NA;0;0;183;1020;0;0;0;NA
C_externa_1;R8;Instar_2;2Instar_3;NA;0;0;878;299;2;0;28;NA
C_externa_1;R9;Instar_2;2Instar_3;NA;1;1;1129;0;3;0;77;NA
C_externa_1;R10;Instar_2;2Instar_3;NA;1;2;647;0;3;0;560;NA
C_externa_1;R11;Instar_2;2Instar_3;NA;1;2;584;80;4;0;537;NA
C_externa_1;R12;Instar_2;2Instar_3;NA;1;1;477;0;0;0;731;NA
C_externa_1;R13;Instar_2;2Instar_3;NA;1;1;478;141;3;0;582;NA
C_externa_1;R14;Instar_2;2Instar_3;NA;1;1;1205;0;4;0;0;NA
C_externa_1;R15;Instar_2;2Instar_3;NA;1;2;977;157;4;0;66;NA
C_externa_1;R16;Instar_2;2Instar_3;NA;1;1;914;0;6;0;287;NA
C_externa_1;R17;Instar_2;2Instar_3;NA;0;0;1158;0;5;0;44;NA
C_externa_1;R18;Instar_2;2Instar_3;NA;1;2;123;0;1;0;1077;NA
C_externa_1;R19;Instar_2;2Instar_3;NA;1;1;660;523;7;1;18;NA
C_externa_1;R20;Instar_2;2Instar_3;NA;1;4;1174;26;4;0;0;NA
C_externa_1;R1;Instar_3;2Instar_3;NA;1;2;1165;25;9;0;11;NA
