data;mes;periodo;ninho;area;classe;montes;olheiro escavação
2019-08-15;Agosto;Seco;2;62.37;6;3;5
2019-08-15;Agosto;Seco;3;11.7;4;1;1
2019-08-15;Agosto;Seco;5;19.64;5;1;0
2019-08-15;Agosto;Seco;6;15.81;4;2;0
2019-08-15;Agosto;Seco;7;53.55;6;1;5
2019-08-15;Agosto;Seco;8;33.6;5;6;10
2019-08-15;Agosto;Seco;9;24.78;5;2;6
2019-08-15;Agosto;Seco;10;9.72;4;1;8
2019-08-15;Agosto;Seco;11;7.52;3;1;
2019-08-15;Agosto;Seco;12;16.17;4;2;6
2019-08-15;Agosto;Seco;13;4.28;3;1;1
2019-08-15;Agosto;Seco;15;36.66;6;5;21
2019-08-16;Agosto;Seco;16;21.26;5;2;6
2019-08-16;Agosto;Seco;17;21.5;5;2;5
2019-08-16;Agosto;Seco;18;9.72;4;3;
2019-08-16;Agosto;Seco;19;11.73;4;3;9
2019-08-16;Agosto;Seco;20;19.68;5;2;4
2019-08-16;Agosto;Seco;21;4.56;3;1;
2019-08-16;Agosto;Seco;22;7.53;3;3;2
2019-08-16;Agosto;Seco;23;48.18;6;4;1
2019-08-19;Agosto;Seco;24;18.63;5;2;16
2019-08-19;Agosto;Seco;25;3.52;3;2;5
2019-08-19;Agosto;Seco;26;8.81;3;1;
2019-08-19;Agosto;Seco;27;18.13;4;1;2
2019-08-19;Agosto;Seco;28;39.76;6;2;14
2019-08-19;Agosto;Seco;29;36.72;6;2;18
2019-08-19;Agosto;Seco;30;5.32;3;1;4
2019-08-20;Agosto;Seco;31;7.44;3;2;2
2019-08-16;Agosto;Seco;32;36.75;6;2;
2019-08-15;Agosto;Seco;33;8.22;3;1;8
2019-08-15;Agosto;Seco;34;2.6;2;2;3
2019-08-15;Agosto;Seco;35;9.45;4;3;11
2019-08-15;Agosto;Seco;36;9.3;4;3;2
2019-08-20;Agosto;Seco;37;12.18;4;1;14
2019-08-20;Agosto;Seco;38;15.95;4;1;4
2019-08-20;Agosto;Seco;39;1.66;2;1;1
2019-08-20;Agosto;Seco;40;1.69;2;1;0
2019-08-20;Agosto;Seco;41;1.08;2;1;1
2019-08-21;Agosto;Seco;41;1.08;2;1;1
2019-08-20;Agosto;Seco;42;70.5;6;5;21
2019-08-20;Agosto;Seco;43;31.27;5;3;9
2019-08-20;Agosto;Seco;44;1.68;2;1;0
2019-08-21;Agosto;Seco;44;1.68;2;1;0
2019-08-20;Agosto;Seco;45;1.43;2;1;1
2019-08-20;Agosto;Seco;46;49.88;6;1;12
2019-08-20;Agosto;Seco;47;35.04;6;1;20
2019-08-20;Agosto;Seco;48;39.1;6;4;7
2019-08-20;Agosto;Seco;49;2.24;2;1;1
2019-08-20;Agosto;Seco;50;1.54;2;2;1
2019-08-20;Agosto;Seco;51;2.72;2;1;4
2019-08-20;Agosto;Seco;52;2.4;2;1;1
2019-08-21;Agosto;Seco;52;2.4;2;1;1
2019-08-21;Agosto;Seco;53;23.79;5;;
2019-08-21;Agosto;Seco;54;27.47;5;;
2019-09-17;Setembro;Seco;39;1.63;2;1;1
2019-09-17;Setembro;Seco;6;15.81;4;3;1
2019-09-17;Setembro;Seco;5;22.36;5;1;0
2019-09-17;Setembro;Seco;3;11.7;4;1;0
2019-09-17;Setembro;Seco;2;62.37;6;1;1
2019-09-17;Setembro;Seco;38;15.79;4;1;12
2019-09-18;Setembro;Seco;38;15.79;4;1;12
2019-09-17;Setembro;Seco;37;14.18;4;1;6
2019-09-18;Setembro;Seco;37;14.18;4;1;6
2019-09-17;Setembro;Seco;36;11.16;4;1;2
2019-09-17;Setembro;Seco;35;9.18;4;1;15
2019-09-17;Setembro;Seco;34;3.66;3;1;5
2019-09-17;Setembro;Seco;33;8.83;3;1;7
2019-09-17;Setembro;Seco;12;16.17;4;2;5
2019-09-17;Setembro;Seco;11;7.71;3;2;0
2019-09-18;Setembro;Seco;11;7.71;3;2;0
2019-09-17;Setembro;Seco;10;11.73;4;1;2
2019-09-17;Setembro;Seco;9;26.1;5;2;0
2019-09-17;Setembro;Seco;7;53.55;6;1;7
2019-09-17;Setembro;Seco;8;33.6;5;3;3
2019-09-18;Setembro;Seco;32;59.86;6;4;3
2019-09-18;Setembro;Seco;13;4.4;3;1;1
2019-09-19;Setembro;Seco;13;4.4;3;1;1
2019-09-18;Setembro;Seco;15;36.66;6;4;11
2019-09-18;Setembro;Seco;16;25.74;5;3;0
2019-09-18;Setembro;Seco;17;22;5;2;0
