TR,BL,PL,BESTOT,RSBESO,IBBESO,ORTTOT,RSORTH,IBORTH,MASTTOT,RSMAST,IBMAST,DIPTOT,RSDIP,IBDIP,ARATOT,RSARAN,IBARAN,INTOT,RSIN,IBIN,FOL,GAL,COB
1,1,1,0,0,0,4,1,0,5,2,2.97,1,0,0,0,0,0,2,2,3.922,8.27,3.83,4.63
1,1,2,0,0,0,4,2,3.247,4,2,3.247,0,0,0,1,1,1.443,1,1,1.443,6.82,9.2,7.5
1,1,3,0,0,0,0,0,0,2,1,1.443,2,0,0,4,4,10.66,5,5,14.709,5.14,11.25,6.5
1,1,4,0,0,0,2,1,1.443,2,1,1.443,0,0,0,0,0,0,19,1,1.443,8.27,5,5.4
1,2,1,0,0,0,2,1,0,2,1,1.443,0,0,0,0,0,0,5,2,3.809,7.71,3,7.13
1,2,2,0,0,0,2,2,3.922,2,2,3.922,0,0,0,0,0,0,7,3,4.551,7.89,5.3,5.38
1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.37,5,4.17
1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1.443,7.17,2.5,9.78
1,3,1,0,0,0,1,1,1.443,1,1,1.443,1,1,1.443,0,0,0,9,1,1.443,7,13.33,4.81
1,3,2,0,0,0,0,0,0,45,1,1.443,0,0,0,2,2,3.922,48,5,3.796,9.86,16.33,5.97
1,3,3,1,1,1.443,0,0,0,1,1,1.443,0,0,0,0,0,0,7,1,1.443,9.29,6.25,7.82
1,3,4,0,0,0,1,1,1.443,10,2,2.306,10,1,1.443,0,0,0,30,2,3.614,6.65,7.29,3.77
1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3.922,6,4,8.662,7.89,5.33,3.85
1,4,2,1,1,0,0,0,0,1,1,1.443,0,0,0,0,0,0,2,1,1.443,6.6,6.29,8.14
1,4,3,1,1,1.443,2,1,0,3,2,3.614,0,0,0,2,2,3.922,4,3,6.466,9.12,7.14,3.52
1,4,4,4,2,3.247,2,2,3.922,6,4,8.662,0,0,0,2,2,3.922,8,5,10.66,6.67,8,12.53
1,5,1,0,0,0,1,1,1.443,1,1,1.443,0,0,0,0,0,0,4,3,6.466,6.09,6.71,3.91
1,5,2,1,1,0,0,0,0,1,1,1.443,0,0,0,0,0,0,0,0,0,5.85,3.33,4.3
1,5,3,0,0,0,1,1,0,1,1,1.443,0,0,0,0,0,0,0,0,0,6.27,6.95,9.93
1,5,4,0,0,0,1,1,1.443,1,1,1.443,0,0,0,2,2,3.922,2,2,3.922,4.88,12,3.94
1,6,1,0,0,0,2,1,1.443,2,1,1.443,0,0,0,0,0,0,0,0,0,5.79,2.67,4.29
1,6,2,0,0,0,2,2,3.922,6,3,5.044,4,0,0,0,0,0,0,0,0,6.5,9.4,11.75
1,6,3,0,0,0,0,0,0,3,1,1.443,3,0,0,1,1,1.443,1,1,1.443,6.91,7.1,2.55
1,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.443,1,1,1.443,0,8.8,6.16
2,1,1,1,1,0,0,0,0,19,2,1.943,20,1,0,1,1,0,16,6,8.717,18.3,10,32.4
2,1,2,1,1,0,2,1,1.443,14,3,3.717,12,1,0,8,1,1.443,29,5,10.537,12.64,18.5,23.29
2,1,3,3,2,0,4,2,0,64,5,2.938,58,1,0,2,1,1.443,98,6,4.017,15.82,3,10.54
2,1,4,1,1,0,1,1,1.443,73,3,1.777,72,1,0,1,1,0,11,4,8.64,22.5,17,34.73
2,2,1,0,0,0,0,0,0,25,1,1.443,26,1,0,0,0,0,4,2,3.247,12.33,32.5,30.58
2,2,2,1,1,0,3,1,1.443,18,3,3.71,14,0,0,2,2,0,6,5,13.71,11.12,1,19
2,2,3,0,0,0,3,2,0,12,3,0,10,1,0,1,1,0,19,3,0,18.07,12,16.6
2,2,4,1,1,0,1,1,0,2,2,0,1,1,0,2,2,0,3,3,7.039,24.83,44.33,44
2,3,1,0,0,0,1,1,1.443,107,3,2.125,8,2,3.922,3,2,0,20,5,9.872,16.46,1.33,28
