Tratamento;Periodo;Repeticao;Individuo;Evento
Testemunha;24;1;1;1
Testemunha;24;1;2;0
Testemunha;24;1;3;0
Testemunha;24;1;4;0
Testemunha;24;1;5;0
Testemunha;24;1;6;0
Testemunha;24;1;7;0
Testemunha;24;1;8;0
Testemunha;24;1;9;0
Testemunha;24;1;10;0
Testemunha;24;1;11;0
Testemunha;24;1;12;0
Testemunha;24;1;13;0
Testemunha;24;1;14;0
Testemunha;24;1;15;0
Testemunha;24;1;16;0
Testemunha;96;1;1;1
Testemunha;96;1;2;0
Testemunha;96;1;3;0
Testemunha;96;1;4;0
Testemunha;96;1;5;0
Testemunha;96;1;6;0
Testemunha;96;1;7;0
Testemunha;96;1;8;0
Testemunha;96;1;9;0
Testemunha;96;1;10;0
Testemunha;96;1;11;0
Testemunha;96;1;12;0
Testemunha;96;1;13;0
Testemunha;96;1;14;0
Testemunha;96;1;15;0
Testemunha;96;1;16;0
Testemunha;120;1;1;1
Testemunha;120;1;2;0
Testemunha;120;1;3;0
Testemunha;120;1;4;0
Testemunha;120;1;5;0
Testemunha;120;1;6;0
Testemunha;120;1;7;0
Testemunha;120;1;8;0
Testemunha;120;1;9;0
Testemunha;120;1;10;0
Testemunha;120;1;11;0
Testemunha;120;1;12;0
Testemunha;120;1;13;0
Testemunha;120;1;14;0
Testemunha;120;1;15;0
Testemunha;120;1;16;0
Testemunha;24;2;1;1
Testemunha;24;2;2;1
Testemunha;24;2;3;0
Testemunha;24;2;4;0
Testemunha;24;2;5;0
Testemunha;24;2;6;0
Testemunha;24;2;7;0
Testemunha;24;2;8;0
Testemunha;24;2;9;0
Testemunha;24;2;10;0
Testemunha;24;2;11;0
Testemunha;24;2;12;0
Testemunha;24;2;13;0
Testemunha;24;2;14;0
Testemunha;24;2;15;0
Testemunha;24;2;16;0
Testemunha;96;2;1;1
Testemunha;96;2;2;1
Testemunha;96;2;3;0
Testemunha;96;2;4;0
Testemunha;96;2;5;0
Testemunha;96;2;6;0
Testemunha;96;2;7;0
Testemunha;96;2;8;0
Testemunha;96;2;9;0
Testemunha;96;2;10;0
Testemunha;96;2;11;0
Testemunha;96;2;12;0
