aluno,exito,tempo,grupo,curso,tentativa,exito_tentativa,vez_exito
a1,0,03:00,GP_C,1,1,0,4
a1,0,03:00,GP_C,1,2,0,4
a1,0,03:00,GP_C,1,3,0,4
a1,0,03:00,GP_C,1,4,1,4
a1,0,03:00,GP_C,1,5,0,4
a1,0,03:00,GP_C,1,6,0,4
a1,0,03:00,GP_C,1,7,0,4
a1,0,03:00,GP_C,1,8,1,4
a1,0,03:00,GP_C,1,9,0,4
a1,0,03:00,GP_C,1,10,1,4
a1,0,03:00,GP_C,1,11,0,4
a1,0,03:00,GP_C,1,12,1,4
a1,0,03:00,GP_C,1,13,0,4
a1,0,03:00,GP_C,1,14,0,4
a1,0,03:00,GP_C,1,15,0,4
a1,0,03:00,GP_C,1,16,0,4
a1,0,03:00,GP_C,1,17,0,4
a1,0,03:00,GP_C,1,18,0,4
a1,0,03:00,GP_C,1,19,0,4
a1,0,03:00,GP_C,1,20,0,4
a1,0,03:00,GP_C,1,21,0,4
a1,0,03:00,GP_C,1,22,NA,4
a1,0,03:00,GP_C,1,23,NA,4
a1,0,03:00,GP_C,1,24,NA,4
a3,1,00:21,GP_C,1,1,1,1
a3,1,00:21,GP_C,1,2,0,1
a3,1,00:21,GP_C,1,3,1,1
a3,1,00:21,GP_C,1,4,1,1
a3,1,00:21,GP_C,1,5,1,1
a3,1,00:21,GP_C,1,6,1,1
a3,1,00:21,GP_C,1,7,1,1
a3,1,00:21,GP_C,1,8,1,1
a3,1,00:21,GP_C,1,9,0,1
a3,1,00:21,GP_C,1,10,1,1
a3,1,00:21,GP_C,1,11,1,1
a3,1,00:21,GP_C,1,12,1,1
a3,1,00:21,GP_C,1,13,0,1
a3,1,00:21,GP_C,1,14,0,1
a3,1,00:21,GP_C,1,15,1,1
a3,1,00:21,GP_C,1,16,1,1
a3,1,00:21,GP_C,1,17,1,1
a3,1,00:21,GP_C,1,18,1,1
a3,1,00:21,GP_C,1,19,1,1
a3,1,00:21,GP_C,1,20,1,1
a3,1,00:21,GP_C,1,21,1,1
a3,1,00:21,GP_C,1,22,NA,1
