alunos,genero,idade,escolaridade,ocupacao,interesse_no_curso,experiencia_pecuaria,tempo_trabalha_pecuaria,familiarizado_com_Inseminacao,inseminou,simulador,questao_1,questao_2,questao_3,questao_4,questao_5,questao_6,questao_7,questao_8,questao_9,questao_10,questao_11,questao_12,questao_13,questao_14,questao_15,questao_16,questao_17,questao_18,questao_19,questao_20,questao_21,questao_22,questao_23,questao_24,questao_25,questao_26,questao_27,questao_28,questao_29,questao_30,questao_31,questao_32,questao_33,questao_34,questao_35,questao_36,questao_37,questao_38,questao_39,questao_40,questao_41,questao_42,questao_43,questao_44,questao_45,questao_46,questao_47,questao_48,questao_49,questao_50,questao_51,questao_52,questao_53,questao_54,questao_55
a1,masculino,32,ensino_medio,produtor_rural,melhorar_genetica,1,3,1,0,sem,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,teve_alguma_dificuldade,mais_dificil_que_peça,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5
a2,feminino,33,superior_incompleto,produtor_rural,uso_proprio ,1,10,1,0,sem,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,teve_alguma_dificuldade,dificuldade_identica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
a3,feminino,17,ensino_medio,desempregado,aprender,0,0,1,0,sem,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,teve_alguma_dificuldade,dificuldade_identica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4
a4,feminino,19,ensino_medio,estudante,aprender,0,0,1,0,sem,5,4,5,4,5,5,5,4,4,4,5,4,4,5,4,teve_alguma_dificuldade,mais_dificil_que_peça,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3
a5,feminino,17,ensino_medio_incompleto,estudante,aprender,1,0,1,0,sem,5,5,5,5,5,4,5,4,5,4,5,4,5,4,5,achou_facil_identificar_estruturas,mais_dificil_que_peça,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5
a6,feminino,23,ensino_medio,pecuaria ,aprender,1,8,1,0,sem,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,achou_facil_identificar_estruturas,mais_dificil_que_peça,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3
a7,masculino,16,ensino_medio,estudante,aprender,1,5,1,0,sem,5,5,5,4,4,5,5,5,4,4,5,5,5,5,5,achou_facil_identificar_estruturas,mais_dificil_que_peça,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5
a8,masculino,17,ensino_medio,estudante,aprender,1,5,0,0,sem,5,4,5,5,5,4,4,4,5,5,5,5,4,5,5,teve_alguma_dificuldade,mais_dificil_que_peça,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4
a9,masculino,34,superior,vaqueiro,aprender,1,4,1,0,sem,5,5,5,4,5,5,5,2,2,4,4,4,5,5,5,teve_alguma_dificuldade,mais_dificil_que_peça,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3
a10,feminino,20,ensino_medio,autonomo ,aprender,0,0,0,0,sem,5,5,5,5,4,4,5,3,4,4,5,4,4,5,5,ainda_encontrou_dificuldades,mais_dificil_que_peça,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3
a11,masculino,53,ensino_medio,produtor_rural,uso_proprio ,1,35,0,0,sem,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,teve_alguma_dificuldade,mais_dificil_que_peça,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3
a12,masculino,36,ensino_medio,pecuaria,aprender,1,20,1,0,sem,5,5,5,5,5,5,5,4,4,5,4,4,3,5,4,teve_alguma_dificuldade,mais_dificil_que_peça,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3
a13,masculino,53,ensino_medio,produtor_rural,uso_proprio ,1,30,0,0,sem,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,ainda_encontrou_dificuldades,mais_dificil_que_peça,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4
a14,masculino,37,superior,autonomo ,aprender,1,2,1,0,sem,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,achou_facil_identificar_estruturas,dificuldade_identica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5
a15,masculino,32,ensino_medio_incompleto,produtor_rural,aprender,1,13,1,0,sem,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,achou_facil_identificar_estruturas,dificuldade_identica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5
a16,masculino,24,superior,autonomo ,aprender,1,5,1,1,sem,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,achou_facil_identificar_estruturas,mais_dificil_que_peça,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5
a17,feminino,16,ensino_medio,estudante,aprender,1,0,1,0,sem,3,4,4,4,4,4,4,3,3,3,4,4,5,4,4,ainda_encontrou_dificuldades,mais_dificil_que_peça,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3
a18,masculino,30,ensino_medio,vaqueiro,aprender,1,7,1,1,sem,5,5,4,4,4,4,4,4,4,4,4,5,5,4,4,achou_facil_identificar_estruturas,mais_dificil_que_peça,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5
