alunos;genero;idade;escolaridade;ocupacao;interesse_no_curso;experiància_pecuaria;tempo_trabalha_pecuaria;familiarizado_com_Inseminacao;inseminou;simulador;questao_1;questao_2;questao_3;questao_4;questao_5;questao_6;questao_7;questao_8;questao_9;questao_10;questao_11;questao_12;questao_13;questao_14;questao_15;questao_16;questao_17;questao_18;questao_19;questao_20;questao_21;questao_22;questao_23;questao_24;questao_25;questao_26;questao_27;questao_28;questao_29;questao_30;questao_31;questao_32;questao_33;questao_34;questao_35;questao_36;questao_37;questao_38;questao_39;questao_40;questao_41;questao_42;questao_43;questao_44;questao_45;questao_46;questao_47;questao_48;questao_49;questao_50;questao_51;questao_52;questao_53;questao_54;questao_55
A1;1;32;PU;produtor_rural;melhorar_genetica;1;3;1;0;sem;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;teve_alguma_dificuldade;mais_dificil_que_peáa;NA;NA;NA;NA;NA;GP_C;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;5
A2;2;33;U;produtor_rural;uso_proprio ;1;10;1;0;sem;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;teve_alguma_dificuldade;dificuldade_identica;NA;NA;NA;NA;NA;GP_C;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
A3;2;17;PU;desempregado;aprender;0;0;1;0;sem;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;teve_alguma_dificuldade;dificuldade_identica;NA;NA;NA;NA;NA;GP_C;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;4
A4;2;19;PU;estudante;aprender;0;NA;1;0;sem;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;teve_alguma_dificuldade;mais_dificil_que_peáa;NA;NA;NA;NA;NA;GP_C;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;3
A5;2;17;PU;estudante;aprender;1;NA;1;0;sem;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;achou_facil_identificar_estruturas;mais_dificil_que_peáa;NA;NA;NA;NA;NA;GP_C;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;5
A6;2;23;PU;pecuaria ;aprender;1;8;1;0;sem;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;achou_facil_identificar_estruturas;mais_dificil_que_peáa;NA;NA;NA;NA;NA;GP_C;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;3
A7;1;16;PU;estudante;aprender;1;5;1;0;sem;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;achou_facil_identificar_estruturas;mais_dificil_que_peáa;NA;NA;NA;NA;NA;GP_C;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;5
A8;1;17;PU;estudante;aprender;1;5;0;0;sem;P;P;NT;P;P;P;P;P;P;P;P;P;P;P;P;teve_alguma_dificuldade;mais_dificil_que_peáa;NA;NA;NA;NA;NA;GP_C;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;4
A9;1;34;U;vaqueiro;aprender;1;4;1;0;sem;P;P;P;P;P;P;P;NT;NT;P;P;P;P;P;P;teve_alguma_dificuldade;mais_dificil_que_peáa;NA;NA;NA;NA;NA;GP_C;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;3
A10;2;20;PU;autonomo ;aprender;0;NA;0;0;sem;P;P;P;P;P;P;P;NT;P;P;P;P;P;P;P;ainda_encontrou_dificuldades;mais_dificil_que_peáa;NA;NA;NA;NA;NA;GP_C;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;3
