"mortalidade","esporos","repeticao"
0,4,"r1"
0,4,"r1"
1,6,"r3"
0,6,"r3"
0,4,"r1"
1,6,"r3"
0,5,"r2"
0,5,"r2"
0,6,"r3"
0,6,"r3"
0,6,"r3"
1,7,"r4"
0,7,"r4"
1,6,"r3"
1,8,"r5"
0,5,"r2"
0,4,"r1"
1,7,"r4"
1,7,"r4"
1,7,"r4"
0,7,"r4"
0,6,"r3"
0,5,"r2"
0,5,"r2"
0,5,"r2"
0,6,"r3"
0,5,"r2"
0,5,"r2"
0,5,"r2"
1,7,"r4"
0,7,"r4"
0,7,"r4"
1,7,"r4"
1,7,"r4"
1,5,"r2"
0,6,"r3"
1,7,"r4"
0,7,"r4"
0,4,"r1"
0,6,"r3"
0,5,"r2"
1,7,"r4"
1,8,"r5"
0,5,"r2"
1,5,"r2"
0,5,"r2"
0,7,"r4"
1,6,"r3"
1,6,"r3"
1,6,"r3"
0,5,"r2"
0,5,"r2"
0,6,"r3"
1,5,"r2"
0,5,"r2"
0,6,"r3"
0,7,"r4"
0,7,"r4"
0,6,"r3"
1,7,"r4"
1,5,"r2"
0,5,"r2"
0,5,"r2"
0,5,"r2"
0,7,"r4"
1,7,"r4"
0,4,"r1"
0,7,"r4"
0,6,"r3"
0,4,"r1"
1,8,"r5"
1,6,"r3"
0,5,"r2"
0,5,"r2"
0,6,"r3"
0,6,"r3"
1,6,"r3"
1,5,"r2"
0,5,"r2"
0,6,"r3"
0,6,"r3"
0,5,"r2"
0,4,"r1"
0,7,"r4"
0,5,"r2"
1,8,"r5"
0,4,"r1"
1,7,"r4"
0,4,"r1"
0,4,"r1"
0,5,"r2"
0,6,"r3"
1,8,"r5"
1,8,"r5"
1,6,"r3"
0,5,"r2"
1,7,"r4"
0,5,"r2"
1,6,"r3"
1,6,"r3"
