"","rootl","conc","percent_response"
"1",7.58,0,97.8147155280601
"2",8,0,103.234528261805
"3",8.328571429,0,107.474517820945
"4",7.25,0,93.5562912372607
"5",7.375,0,95.1693307413514
"6",7.9625,0,102.750616410578
"7",8.355555556,0.94,107.82272952362
"8",6.914285714,0.94,89.2241279940159
"9",7.75,0.94,100.008449253623
"10",6.871428571,1.88,88.6710858764841
"11",6.45,1.88,83.2328384110802
"12",5.922222222,1.88,76.4222271687185
"13",1.925,3.75,24.8408083629968
"14",2.885714286,3.75,37.2381691266951
"15",4.233333333,3.75,54.6282712009037
"16",1.1875,7.5,15.3238752888617
"17",0.857142857,7.5,11.0608423119213
"18",1.057142857,7.5,13.6417055184665
"19",0.6875,15,8.87171727249886
"20",0.525,15,6.77476591718095
"21",0.825,15,10.6460607269986
"22",0.25,30,3.2260790081814
"23",0.22,30,2.83894952719964
"24",0.44,30,5.67789905439927
