"id","date","value"
0,2020-11-26,36
0,2020-12-04,1
0,2021-04-08,6
0,2021-04-09,1
0,2021-04-15,1
0,2021-05-02,3
0,2021-05-14,3
0,2021-05-15,3
0,2021-05-18,3
0,2021-05-24,11
0,2021-05-25,26
1,2020-11-27,34
1,2020-11-28,24
1,2020-12-03,9
1,2020-12-07,13
1,2020-12-13,17
1,2020-12-19,20
1,2020-12-23,15
1,2021-01-15,29
1,2021-01-17,31
1,2021-02-28,20
1,2021-03-28,6
1,2021-03-29,6
1,2021-04-04,10
1,2021-04-12,9
1,2021-04-19,7
1,2021-04-23,13
1,2021-04-24,13
1,2021-04-25,13
1,2021-05-02,2
1,2021-05-07,2
1,2021-05-11,2
1,2021-05-12,2
1,2021-05-18,2
2,2020-11-26,27
2,2021-03-20,26
2,2021-03-23,26
2,2021-03-27,4
2,2021-03-28,4
2,2021-04-08,4
2,2021-04-11,14
2,2021-04-15,3
2,2021-04-19,1
2,2021-04-21,1
2,2021-04-28,21
2,2021-05-02,4
2,2021-05-03,4
2,2021-05-04,4
2,2021-05-19,26
2,2021-05-24,13
3,2020-11-27,5
3,2020-12-05,18
3,2020-12-09,27
4,2020-11-28,28
4,2020-12-04,11
4,2020-12-08,3
4,2020-12-16,12
4,2020-12-18,32
4,2020-12-19,32
4,2020-12-24,28
4,2020-12-26,27
4,2021-02-14,42
4,2021-02-28,31
4,2021-03-29,18
4,2021-04-14,27
4,2021-04-16,29
4,2021-04-21,27
4,2021-05-05,22
4,2021-05-20,37
4,2021-05-23,37
5,2020-12-01,1
5,2020-12-02,1
6,2020-12-05,21
6,2020-12-15,7
6,2020-12-21,5
6,2020-12-24,27
6,2020-12-26,22
6,2020-12-30,22
6,2021-03-21,41
6,2021-03-28,4
6,2021-04-01,1
6,2021-04-03,1
6,2021-04-04,1
6,2021-04-05,1
6,2021-04-06,1
6,2021-04-18,23
6,2021-04-23,22
6,2021-04-26,22
6,2021-04-29,2
6,2021-05-02,1
6,2021-05-03,1
6,2021-05-04,1
6,2021-05-11,5
6,2021-05-16,21
6,2021-05-23,9
7,2020-12-04,16
7,2020-12-10,8
7,2020-12-17,1
7,2020-12-18,1
7,2020-12-19,1
7,2020-12-20,1
7,2020-12-21,1
7,2020-12-24,21
7,2020-12-25,26
7,2021-03-25,29
7,2021-03-27,29
7,2021-03-28,27
7,2021-03-29,27
7,2021-04-08,18
7,2021-04-11,25
7,2021-04-12,25
7,2021-04-19,30
7,2021-04-26,29
7,2021-05-03,12
7,2021-05-18,18
7,2021-05-25,23
8,2020-12-08,22
8,2020-12-09,13
9,2021-03-01,5
9,2021-03-31,5
9,2021-04-11,5
10,2021-01-07,25
10,2021-04-26,11
10,2021-05-22,13
11,2020-12-10,2
11,2020-12-12,2
11,2020-12-16,2
11,2020-12-17,2
11,2020-12-25,2
11,2021-03-03,1
11,2021-03-10,1
11,2021-03-12,1
11,2021-03-13,1
11,2021-03-16,1
11,2021-03-24,1
11,2021-03-25,1
12,2020-12-11,17
12,2020-12-21,15
12,2020-12-31,39
12,2021-01-10,30
12,2021-01-15,23
12,2021-01-17,23
12,2021-01-24,4
12,2021-01-25,4
13,2021-01-22,12
13,2021-03-21,3
13,2021-03-22,3
13,2021-03-23,3
13,2021-04-01,5
13,2021-04-02,11
13,2021-04-09,7
13,2021-04-15,24
13,2021-04-21,23
13,2021-05-04,32
13,2021-05-13,13
13,2021-05-17,6
13,2021-05-25,6
14,2021-01-10,25
14,2021-01-25,13
15,2021-02-16,5
15,2021-03-12,2
15,2021-04-22,3
15,2021-04-28,12
15,2021-05-02,16
15,2021-05-06,16
15,2021-05-13,24
15,2021-05-20,24
15,2021-05-24,9
15,2021-05-25,9
16,2021-03-16,2
16,2021-03-18,2
16,2021-03-31,1
16,2021-04-01,1
16,2021-04-02,1
16,2021-05-04,1
16,2021-05-05,1
16,2021-05-06,1
16,2021-05-07,1
16,2021-05-08,1
17,2021-01-15,4
17,2021-01-24,21
17,2021-03-24,32
17,2021-03-28,23
17,2021-04-14,33
17,2021-04-16,25
17,2021-04-21,26
17,2021-05-03,4
17,2021-05-21,31
17,2021-05-24,23
17,2021-05-25,23
18,2021-02-01,21
18,2021-03-25,2
18,2021-03-26,3
18,2021-03-31,23
18,2021-04-03,27
18,2021-04-12,8
18,2021-04-16,8
18,2021-04-19,1
18,2021-04-25,7
18,2021-04-26,11
18,2021-04-30,9
18,2021-05-06,3
18,2021-05-08,7
18,2021-05-20,28
18,2021-05-22,34
18,2021-05-25,26
19,2021-01-22,33
19,2021-03-12,4
19,2021-03-17,4
19,2021-03-19,7
19,2021-03-24,18
19,2021-03-25,18
19,2021-03-26,4
19,2021-03-30,11
19,2021-04-05,27
19,2021-04-08,23
19,2021-04-12,7
19,2021-04-13,7
19,2021-04-14,7
19,2021-04-16,9
19,2021-04-25,36
19,2021-04-26,45
19,2021-05-04,37
19,2021-05-17,16
19,2021-05-21,12
19,2021-05-23,18
20,2021-02-22,21
20,2021-03-18,1
20,2021-03-21,2
20,2021-03-22,2
20,2021-03-26,19
20,2021-03-29,3
20,2021-04-04,8
20,2021-04-07,9
20,2021-04-10,13
20,2021-04-15,7
20,2021-04-20,6
20,2021-04-23,8
20,2021-04-29,24
20,2021-04-30,21
20,2021-05-02,2
20,2021-05-07,25
20,2021-05-09,35
20,2021-05-14,32
20,2021-05-17,4
20,2021-05-18,4
20,2021-05-19,1
20,2021-05-20,1
20,2021-05-21,1
20,2021-05-25,11
21,2021-02-18,9
21,2021-02-19,9
21,2021-03-17,2
21,2021-03-19,2
21,2021-03-25,5
21,2021-03-29,8
21,2021-03-30,8
21,2021-04-04,13
21,2021-04-09,6
21,2021-04-11,2
21,2021-04-18,16
21,2021-04-20,21
21,2021-04-24,27
21,2021-04-26,29
21,2021-05-06,6
21,2021-05-08,5
21,2021-05-15,5
21,2021-05-21,6
21,2021-05-25,17
22,2021-02-22,28
22,2021-03-12,15
22,2021-03-13,14
22,2021-03-19,10
22,2021-03-21,11
22,2021-03-25,11
22,2021-03-30,4
22,2021-04-14,10
22,2021-04-15,24
22,2021-04-19,33
22,2021-04-22,39
22,2021-04-29,21
22,2021-05-07,18
22,2021-05-08,24
22,2021-05-13,3
22,2021-05-14,2
22,2021-05-25,19
23,2021-03-03,1
24,2021-02-26,8
24,2021-03-01,8
24,2021-03-26,5
24,2021-04-03,6
24,2021-04-08,3
24,2021-04-09,3
24,2021-04-12,3
24,2021-04-24,6
24,2021-04-25,6
24,2021-04-26,6
24,2021-04-29,19
24,2021-05-08,1
24,2021-05-09,1
24,2021-05-10,1
24,2021-05-11,1
24,2021-05-15,6
24,2021-05-16,6
24,2021-05-17,6
24,2021-05-18,6
24,2021-05-19,6
24,2021-05-24,13
24,2021-05-25,13
25,2021-03-10,29
25,2021-03-18,25
25,2021-03-26,31
25,2021-03-29,41
25,2021-04-01,29
25,2021-04-07,34
25,2021-04-08,24
25,2021-04-09,28
25,2021-04-14,6
25,2021-04-16,1
25,2021-04-19,4
25,2021-04-23,1
25,2021-04-24,1
25,2021-04-25,1
25,2021-04-26,1
25,2021-04-27,1
25,2021-04-28,1
25,2021-05-02,23
25,2021-05-18,14
25,2021-05-19,14
25,2021-05-25,20
26,2021-03-11,19
26,2021-03-19,10
26,2021-04-03,2
26,2021-04-17,11
26,2021-04-25,5
26,2021-04-29,11
26,2021-05-02,11
26,2021-05-10,2
26,2021-05-11,2
26,2021-05-15,3
26,2021-05-25,2
27,2021-03-03,21
27,2021-03-23,10
27,2021-04-03,3
27,2021-04-17,3
27,2021-04-26,12
27,2021-05-02,32
27,2021-05-03,32
27,2021-05-06,4
27,2021-05-07,4
27,2021-05-08,4
27,2021-05-15,3
27,2021-05-17,3
27,2021-05-18,3
27,2021-05-24,12
28,2021-03-04,10
28,2021-03-20,8
28,2021-03-21,8
28,2021-03-30,3
28,2021-04-13,7
28,2021-04-14,7
28,2021-04-23,13
28,2021-04-29,35
28,2021-05-01,35
28,2021-05-09,4
28,2021-05-14,1
28,2021-05-15,1
28,2021-05-16,1
28,2021-05-17,1
28,2021-05-18,1
28,2021-05-19,1
28,2021-05-20,1
28,2021-05-24,2
28,2021-05-25,2
29,2021-03-09,5
29,2021-03-13,23
29,2021-04-05,6
29,2021-04-06,6
29,2021-04-09,6
29,2021-04-16,3
29,2021-04-24,13
29,2021-05-17,23
30,2021-03-10,33
30,2021-03-20,4
30,2021-03-24,4
30,2021-03-25,4
30,2021-03-26,4
30,2021-04-01,5
30,2021-04-14,11
30,2021-04-26,9
30,2021-04-30,31
30,2021-05-10,4
30,2021-05-11,4
30,2021-05-16,14
30,2021-05-25,7
31,2021-03-09,17
31,2021-03-24,8
31,2021-03-26,8
31,2021-03-28,1
31,2021-03-29,1
31,2021-03-30,1
31,2021-03-31,1
31,2021-04-01,1
31,2021-04-02,1
31,2021-04-03,1
31,2021-04-15,8
31,2021-04-25,7
31,2021-04-29,39
31,2021-05-04,1
31,2021-05-09,1
31,2021-05-10,1
31,2021-05-11,1
31,2021-05-18,7
31,2021-05-25,11
32,2021-03-15,9
32,2021-03-26,3
32,2021-03-27,3
32,2021-03-28,3
32,2021-03-29,3
32,2021-03-30,3
32,2021-03-31,3
32,2021-04-01,3
32,2021-04-09,6
32,2021-04-16,4
32,2021-04-23,2
32,2021-04-26,2
32,2021-04-28,2
32,2021-05-04,24
32,2021-05-10,10
32,2021-05-11,10
32,2021-05-12,10
32,2021-05-19,12
32,2021-05-20,12
32,2021-05-25,10
33,2021-03-16,12
33,2021-04-01,4
33,2021-04-05,3
33,2021-04-06,3
33,2021-04-16,10
33,2021-04-26,5
33,2021-05-01,33
33,2021-05-13,11
33,2021-05-19,15
33,2021-05-20,15
33,2021-05-25,7
34,2021-03-16,5
34,2021-03-26,1
34,2021-03-27,1
34,2021-03-28,1
34,2021-03-29,1
34,2021-03-30,1
34,2021-03-31,1
34,2021-04-01,1
34,2021-04-18,1
34,2021-04-19,1
34,2021-04-20,1
34,2021-04-21,1
34,2021-04-22,1
34,2021-04-23,1
34,2021-04-24,1
34,2021-04-25,1
34,2021-04-26,1
34,2021-04-27,1
34,2021-04-28,1
34,2021-04-29,2
34,2021-04-30,2
34,2021-05-01,2
34,2021-05-03,2
34,2021-05-04,2
34,2021-05-05,2
34,2021-05-08,3
34,2021-05-09,3
34,2021-05-10,3
34,2021-05-11,3
34,2021-05-12,3
34,2021-05-13,3
34,2021-05-19,7
34,2021-05-20,7
34,2021-05-24,4
34,2021-05-25,4
35,2021-03-18,6
35,2021-03-19,6
35,2021-03-20,6
35,2021-03-24,3
35,2021-03-30,1
35,2021-03-31,1
35,2021-04-01,1
35,2021-04-05,1
35,2021-04-08,1
35,2021-04-09,1
35,2021-04-26,5
35,2021-05-01,26
35,2021-05-13,21
35,2021-05-20,22
35,2021-05-25,10
36,2021-03-15,14
36,2021-03-24,2
36,2021-04-01,3
36,2021-04-05,1
36,2021-04-16,5
36,2021-04-27,6
36,2021-04-30,31
36,2021-05-01,31
36,2021-05-08,23
36,2021-05-19,41
36,2021-05-22,10
37,2021-03-20,8
37,2021-03-23,6
37,2021-03-29,14
37,2021-04-01,14
37,2021-04-05,4
37,2021-04-09,9
37,2021-04-15,12
37,2021-04-16,12
37,2021-04-28,4
37,2021-05-03,10
37,2021-05-05,10
37,2021-05-08,18
37,2021-05-09,18
37,2021-05-10,18
37,2021-05-11,18
37,2021-05-21,12
37,2021-05-25,12
38,2021-03-17,7
38,2021-03-22,2
38,2021-03-25,2
38,2021-03-30,22
38,2021-04-07,4
38,2021-04-08,4
38,2021-04-16,9
38,2021-04-28,5
38,2021-05-02,18
38,2021-05-08,10
38,2021-05-16,1
38,2021-05-25,4
39,2021-03-19,15
39,2021-03-20,15
39,2021-03-22,6
39,2021-03-24,6
39,2021-03-27,3
39,2021-04-06,8
39,2021-04-14,6
39,2021-04-16,6
39,2021-04-27,13
39,2021-04-30,32
39,2021-05-14,34
39,2021-05-25,14
40,2021-03-17,6
40,2021-03-21,1
40,2021-03-24,1
40,2021-03-29,11
40,2021-04-04,10
40,2021-04-08,8
40,2021-04-11,8
40,2021-04-13,8
40,2021-04-15,8
40,2021-04-20,13
40,2021-04-21,13
40,2021-04-29,43
40,2021-05-07,26
40,2021-05-08,26
40,2021-05-21,4
40,2021-05-22,4
40,2021-05-23,6
41,2021-03-19,4
41,2021-03-21,4
41,2021-03-22,4
41,2021-03-27,1
41,2021-03-28,1
41,2021-03-29,1
41,2021-03-30,1
41,2021-04-07,13
41,2021-04-08,2
41,2021-04-09,1
41,2021-04-11,1
41,2021-04-12,1
41,2021-04-13,1
41,2021-04-14,1
41,2021-04-28,2
41,2021-05-02,9
41,2021-05-24,10
41,2021-05-25,4
42,2021-03-17,2
43,2021-03-24,13
43,2021-03-26,5
43,2021-04-01,5
43,2021-04-09,8
43,2021-04-16,2
43,2021-04-25,1
43,2021-04-26,1
43,2021-04-27,1
43,2021-04-28,1
