"Bioma","estacao","ciclo","Hour","anthill","formigueiro","ladenant","unladen","UR","temp"
"Pampa","verao","1°",22,23.52,"2",34,271,65.7,24.32
"Pampa","verao","1°",23,23.52,"2",39,258,68.97,24.33
"Pampa","verao","1°",0,23.52,"2",29,298,71.27,23.96
"Pampa","verao","1°",1,23.52,"2",25,317,75.83,23.7
"Pampa","verao","1°",2,23.52,"2",20,316,78.08,23.12
"Pampa","verao","1°",3,23.52,"2",31,253,78.08,23.22
"Pampa","verao","1°",4,23.52,"2",16,185,71.58,23.45
"Pampa","verao","1°",5,23.52,"2",28,182,74.81,22.81
"Pampa","verao","1°",6,23.52,"2",21,116,71.89,26.44
"Pampa","verao","1°",7,23.52,"2",12,165,76.58,25.84
"Pampa","verao","1°",8,23.52,"2",3,89,75.34,26.55
"Pampa","verao","1°",9,23.52,"2",1,76,60.98,30.83
"Pampa","verao","2°",22,23.52,"2",6,102,62.5,29.09
"Pampa","verao","2°",23,23.52,"2",6,103,69.5,27.86
"Pampa","verao","2°",0,23.52,"2",5,95,62.06,28.28
"Pampa","verao","2°",1,23.52,"2",12,103,68.53,27.62
"Pampa","verao","2°",2,23.52,"2",6,104,69.62,21.38
"Pampa","verao","2°",3,23.52,"2",8,122,71.38,21.38
"Pampa","verao","2°",4,23.52,"2",8,116,73.9,22.65
"Pampa","verao","2°",5,23.52,"2",1,136,76.25,22.25
"Pampa","verao","2°",6,23.52,"2",8,76,77.47,22.58
"Pampa","outono","1°",20,19.63,"1",25,23,92.31,16.63
"Pampa","outono","1°",20,66.96,"3",45,85,91.2,16.92
"Pampa","outono","1°",20,161.01,"5",9,52,91.17,16.72
"Pampa","outono","1°",21,19.63,"1",27,25,87.86,17.46
"Pampa","outono","1°",21,66.96,"3",39,94,90.89,16.61
"Pampa","outono","1°",21,161.01,"5",19,41,92.08,16.5
"Pampa","outono","1°",22,19.63,"1",31,24,94.03,15.94
"Pampa","outono","1°",22,66.96,"3",48,125,93.7,16.04
"Pampa","outono","1°",22,161.01,"5",21,41,91.67,16.47
"Pampa","outono","1°",23,19.63,"1",12,37,93.79,15.86
"Pampa","outono","1°",23,66.96,"3",43,82,87.01,16.85
"Pampa","outono","1°",23,161.01,"5",19,44,91.38,16.28
"Pampa","outono","1°",0,19.63,"1",17,28,94.69,15.28
"Pampa","outono","1°",0,66.96,"3",63,71,94.73,15.48
"Pampa","outono","1°",0,161.01,"5",9,43,91.54,15.83
"Pampa","outono","1°",1,19.63,"1",30,7,95.48,14.92
"Pampa","outono","1°",1,66.96,"3",71,67,95.79,14.9
"Pampa","outono","1°",1,161.01,"5",13,24,95.62,14.91
"Pampa","outono","1°",5,19.63,"1",18,8,97.05,13.86
"Pampa","outono","1°",5,66.96,"3",30,54,97.05,13.84
"Pampa","outono","1°",5,161.01,"5",9,29,96.58,13.84
"Pampa","outono","1°",6,19.63,"1",7,11,96.08,14.05
"Pampa","outono","1°",6,66.96,"3",31,93,96.47,13.99
"Pampa","outono","1°",6,161.01,"5",9,32,96.87,13.95
"Pampa","outono","1°",7,19.63,"1",19,133,96.67,14.08
"Pampa","outono","1°",7,66.96,"3",39,416,96.81,14.17
"Pampa","outono","1°",7,161.01,"5",8,124,96.87,14.13
"Pampa","outono","2°",20,19.63,"1",26,37,89.25,18.16
"Pampa","outono","2°",20,66.96,"3",60,115,89.18,18.21
"Pampa","outono","2°",20,161.01,"5",6,54,84.07,19.3
"Pampa","outono","2°",21,19.63,"1",15,27,85.78,18.8
"Pampa","outono","2°",21,66.96,"3",37,107,79.93,20.43
"Pampa","outono","2°",21,161.01,"5",18,61,86.2,18.82
"Pampa","outono","2°",22,19.63,"1",18,37,78.8,17.98
"Pampa","outono","2°",22,66.96,"3",45,105,89.77,17.99
"Pampa","outono","2°",22,161.01,"5",15,37,84.33,18.12
"Pampa","outono","2°",23,19.63,"1",20,31,86.78,18.05
"Pampa","outono","2°",23,66.96,"3",76,82,88.32,17.84
"Pampa","outono","2°",23,161.01,"5",4,31,89.24,17.38
"Pampa","outono","2°",0,19.63,"1",16,38,96.98,17.32
"Pampa","outono","2°",0,66.96,"3",68,96,88.93,17.62
"Pampa","outono","2°",0,161.01,"5",14,31,86.84,17.96
"Pampa","outono","2°",1,19.63,"1",13,28,89.95,17.32
"Pampa","outono","2°",1,66.96,"3",63,89,90.26,17.62
"Pampa","outono","2°",1,161.01,"5",9,28,93.57,16.87
