"STAND","COMPANY","SPACING","SPECIES","AGE","STATS","NDVI"
"MA02ABOB7D","KLABIN","3.3x1.8","EUCALYPTUS",1,"MEAN",0.803885874050446
"MA02ABOB7D","KLABIN","3.3x1.8","EUCALYPTUS",1,"SD",0.055446191210972
"MA02ABOB7D","KLABIN","3.3x1.8","EUCALYPTUS",1,"MIN",0.576768257619321
"MA02ABOB7D","KLABIN","3.3x1.8","EUCALYPTUS",1,"MAX",0.872654917566799
"MA02ABOB7D","KLABIN","3.3x1.8","EUCALYPTUS",1,"MEAN",0.820776326882084
"MA02ABOB7D","KLABIN","3.3x1.8","EUCALYPTUS",1,"SD",0.0597778291874169
"MA02ABOB7D","KLABIN","3.3x1.8","EUCALYPTUS",1,"MIN",0.568266600348172
"MA02ABOB7D","KLABIN","3.3x1.8","EUCALYPTUS",1,"MAX",0.895508123606244
"MA02ABOB7D","KLABIN","3.3x1.8","EUCALYPTUS",1,"MEAN",0.778184364995435
"MA02ABOB7D","KLABIN","3.3x1.8","EUCALYPTUS",1,"SD",0.0549787517785549
"MA02ABOB7D","KLABIN","3.3x1.8","EUCALYPTUS",1,"MIN",0.548472775564409
"MA02ABOB7D","KLABIN","3.3x1.8","EUCALYPTUS",1,"MAX",0.859356376638856
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MEAN",0.913312181358052
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"SD",0.057177946413095
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MIN",0.458848843464228
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MAX",0.967803431476382
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MEAN",0.923839719965522
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"SD",0.0544353982106386
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MIN",0.506095832151971
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MAX",0.971261974177426
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MEAN",0.917532681080071
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"SD",0.0479389390274357
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MIN",0.56697247706422
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MAX",0.960109174889775
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MEAN",0.92355336285957
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"SD",0.0503558607895403
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MIN",0.556279406442273
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MAX",0.970238095238095
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MEAN",0.890342219549447
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"SD",0.0861332234421108
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MIN",0.362627607634265
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MAX",0.951175406871609
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MEAN",0.865351097410914
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"SD",0.0893149233939265
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MIN",0.347368421052632
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MAX",0.932330827067669
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MEAN",0.813758929175201
