pontos,x,y,data,mes_N,mes,prec,N
1,368589.048,8266724.519,2017_09_11,setembro,1,45,26
2,368879.744,8266724.519,2017_09_11,setembro,1,45,14
3,368589.048,8267015.214,2017_09_11,setembro,1,45,7
4,368879.744,8267015.214,2017_09_11,setembro,1,45,1
5,368879.744,8267305.91,2017_09_11,setembro,1,45,4
6,368879.744,8267596.606,2017_09_11,setembro,1,45,11
7,368589.048,8267887.302,2017_09_11,setembro,1,45,3
8,368879.744,8267887.302,2017_09_11,setembro,1,45,2
9,368298.352,8268177.998,2017_09_11,setembro,1,45,9
10,368589.048,8268177.998,2017_09_11,setembro,1,45,5
11,368879.744,8268177.998,2017_09_11,setembro,1,45,5
12,368298.352,8268468.693,2017_09_11,setembro,1,45,4
13,368589.048,8268468.693,2017_09_11,setembro,1,45,6
14,368879.744,8268468.693,2017_09_11,setembro,1,45,5
15,368298.352,8268759.389,2017_09_11,setembro,1,45,1
16,368589.048,8268759.389,2017_09_11,setembro,1,45,5
17,368879.744,8268759.389,2017_09_11,setembro,1,45,14
18,368298.352,8269050.085,2017_09_11,setembro,1,45,12
19,368589.048,8269050.085,2017_09_11,setembro,1,45,3
20,368879.744,8269050.085,2017_09_11,setembro,1,45,1
21,369170.44,8269050.085,2017_09_11,setembro,1,45,2
22,368298.352,8269340.781,2017_09_11,setembro,1,45,6
23,368589.048,8269340.781,2017_09_11,setembro,1,45,1
24,368879.744,8269340.781,2017_09_11,setembro,1,45,4
25,369170.44,8269340.781,2017_09_11,setembro,1,45,2
26,368879.744,8269631.477,2017_09_11,setembro,1,45,1
27,369170.44,8269631.477,2017_09_11,setembro,1,45,2
28,368589.048,8269922.172,2017_09_11,setembro,1,45,9
29,368879.744,8269922.172,2017_09_11,setembro,1,45,1
30,369170.44,8269922.172,2017_09_11,setembro,1,45,7
31,368589.048,8270212.868,2017_09_11,setembro,1,45,6
32,368306.794,8268467.446,2017_09_11,setembro,1,45,7
1,368589.048,8266724.519,2017_10_12,outubro,2,71,5
2,368879.744,8266724.519,2017_10_12,outubro,2,71,11
3,368589.048,8267015.214,2017_10_12,outubro,2,71,5
4,368879.744,8267015.214,2017_10_12,outubro,2,71,4
