"especie","rep","fase","predacao"
"sp2","R1","ovo_0",1
"sp2","R2","ovo_0",1
"sp2","R3","ovo_0",1
"sp2","R4","ovo_0",0
"sp2","R5","ovo_0",1
"sp2","R6","ovo_0",0
"sp2","R7","ovo_0",0
"sp2","R8","ovo_0",1
"sp2","R9","ovo_0",0
"sp2","R10","ovo_0",0
"sp2","R11","ovo_0",0
"sp2","R12","ovo_0",0
"sp2","R13","ovo_0",0
"sp2","R14","ovo_0",0
"sp2","R15","ovo_0",0
"sp2","R1","ovo_0",1
"sp2","R2","ovo_0",0
"sp2","R3","ovo_0",0
"sp2","R4","ovo_0",0
"sp2","R5","ovo_0",0
"sp2","R6","ovo_0",0
"sp2","R7","ovo_0",0
"sp2","R8","ovo_0",1
"sp2","R9","ovo_0",0
"sp2","R10","ovo_0",0
"sp2","R11","ovo_0",0
"sp2","R12","ovo_0",1
"sp2","R13","ovo_0",0
"sp2","R14","ovo_0",0
"sp2","R15","ovo_0",1
"sp2","R1","ovo_0",1
"sp2","R2","ovo_0",1
"sp2","R3","ovo_0",0
"sp2","R4","ovo_0",1
"sp2","R5","ovo_0",1
"sp2","R6","ovo_0",1
"sp2","R7","ovo_0",0
"sp2","R8","ovo_0",0
"sp2","R9","ovo_0",0
"sp2","R10","ovo_0",1
"sp2","R11","ovo_0",1
"sp2","R12","ovo_0",1
"sp2","R13","ovo_0",1
"sp2","R14","ovo_0",0
"sp2","R15","ovo_0",1
"sp2","R1","Instar_1",1
"sp2","R2","Instar_1",0
"sp2","R3","Instar_1",1
"sp2","R4","Instar_1",1
"sp2","R5","Instar_1",1
"sp2","R6","Instar_1",1
"sp2","R7","Instar_1",1
"sp2","R8","Instar_1",1
"sp2","R9","Instar_1",1
"sp2","R10","Instar_1",1
"sp2","R11","Instar_1",1
"sp2","R12","Instar_1",1
"sp2","R13","Instar_1",0
"sp2","R14","Instar_1",0
"sp2","R15","Instar_1",0
"sp2","R16","Instar_1",0
"sp2","R17","Instar_1",1
"sp2","R18","Instar_1",1
"sp2","R19","Instar_1",1
"sp2","R20","Instar_1",1
"sp2","R1","Instar_1",1
"sp2","R2","Instar_1",1
"sp2","R3","Instar_1",1
"sp2","R4","Instar_1",1
"sp2","R5","Instar_1",1
"sp2","R6","Instar_1",0
"sp2","R7","Instar_1",0
"sp2","R8","Instar_1",1
"sp2","R9","Instar_1",1
"sp2","R10","Instar_1",1
"sp2","R11","Instar_1",0
"sp2","R12","Instar_1",1
"sp2","R13","Instar_1",0
"sp2","R14","Instar_1",0
"sp2","R15","Instar_1",1
"sp2","R16","Instar_1",0
"sp2","R17","Instar_1",1
"sp2","R18","Instar_1",0
"sp2","R19","Instar_1",1
"sp2","R20","Instar_1",0
"sp2","R1","Instar_1",1
"sp2","R2","Instar_1",1
"sp2","R3","Instar_1",0
"sp2","R4","Instar_1",1
"sp2","R5","Instar_1",0
"sp2","R6","Instar_1",1
"sp2","R7","Instar_1",1
"sp2","R8","Instar_1",1
"sp2","R9","Instar_1",0
"sp2","R10","Instar_1",1
"sp2","R11","Instar_1",1
"sp2","R12","Instar_1",1
"sp2","R13","Instar_1",0
"sp2","R14","Instar_1",0
"sp2","R15","Instar_1",1
"sp2","R16","Instar_1",1
"sp2","R17","Instar_1",0
"sp2","R18","Instar_1",1
"sp2","R19","Instar_1",1
"sp2","R20","Instar_1",1
"sp2","R1","2Instar_3",0
"sp2","R2","2Instar_3",0
"sp2","R3","2Instar_3",0
"sp2","R4","2Instar_3",0
"sp2","R5","2Instar_3",0
"sp2","R6","2Instar_3",0
"sp2","R7","2Instar_3",0
"sp2","R8","2Instar_3",0
"sp2","R9","2Instar_3",0
"sp2","R10","2Instar_3",0
"sp2","R11","2Instar_3",0
"sp2","R12","2Instar_3",0
"sp2","R13","2Instar_3",0
"sp2","R14","2Instar_3",0
"sp2","R15","2Instar_3",0
"sp2","R16","2Instar_3",0
"sp2","R17","2Instar_3",0
"sp2","R18","2Instar_3",0
"sp2","R19","2Instar_3",0
"sp2","R20","2Instar_3",0
"sp2","R1","2Instar_3",0
"sp2","R2","2Instar_3",1
"sp2","R3","2Instar_3",0
"sp2","R4","2Instar_3",0
"sp2","R5","2Instar_3",0
"sp2","R6","2Instar_3",1
"sp2","R7","2Instar_3",0
"sp2","R8","2Instar_3",0
"sp2","R9","2Instar_3",1
"sp2","R10","2Instar_3",1
"sp2","R11","2Instar_3",1
"sp2","R12","2Instar_3",1
"sp2","R13","2Instar_3",1
"sp2","R14","2Instar_3",1
"sp2","R15","2Instar_3",1
"sp2","R16","2Instar_3",1
"sp2","R17","2Instar_3",0
"sp2","R18","2Instar_3",1
"sp2","R19","2Instar_3",1
"sp2","R20","2Instar_3",1
"sp2","R1","2Instar_3",1
"sp2","R2","2Instar_3",1
"sp2","R3","2Instar_3",0
"sp2","R4","2Instar_3",1
"sp2","R5","2Instar_3",0
"sp2","R6","2Instar_3",1
"sp2","R7","2Instar_3",1
"sp2","R8","2Instar_3",1
"sp2","R9","2Instar_3",1
"sp2","R10","2Instar_3",1
"sp2","R11","2Instar_3",1
"sp2","R12","2Instar_3",1
"sp2","R13","2Instar_3",1
"sp2","R14","2Instar_3",1
"sp2","R15","2Instar_3",1
"sp2","R16","2Instar_3",0
"sp2","R17","2Instar_3",1
"sp2","R18","2Instar_3",0
"sp2","R19","2Instar_3",1
"sp2","R20","2Instar_3",0
"sp2","R1","45Instar",0
"sp2","R2","45Instar",0
"sp2","R3","45Instar",0
"sp2","R4","45Instar",0
"sp2","R5","45Instar",0
"sp2","R6","45Instar",0
"sp2","R7","45Instar",0
"sp2","R8","45Instar",0
"sp2","R9","45Instar",0
"sp2","R10","45Instar",0
"sp2","R11","45Instar",0
"sp2","R12","45Instar",0
"sp2","R13","45Instar",0
"sp2","R14","45Instar",0
"sp2","R15","45Instar",0
"sp2","R16","45Instar",0
"sp2","R17","45Instar",0
"sp2","R18","45Instar",0
"sp2","R19","45Instar",0
"sp2","R20","45Instar",0
"sp2","R1","45Instar",0
"sp2","R2","45Instar",0
"sp2","R3","45Instar",0
"sp2","R4","45Instar",0
"sp2","R5","45Instar",0
"sp2","R6","45Instar",0
"sp2","R7","45Instar",0
"sp2","R8","45Instar",0
"sp2","R9","45Instar",0
"sp2","R10","45Instar",0
"sp2","R11","45Instar",0
"sp2","R12","45Instar",0
"sp2","R13","45Instar",0
"sp2","R14","45Instar",0
"sp2","R15","45Instar",0
"sp2","R16","45Instar",0
"sp2","R17","45Instar",0
"sp2","R18","45Instar",0
"sp2","R19","45Instar",0
"sp2","R20","45Instar",0
"sp2","R1","45Instar",0
"sp2","R2","45Instar",1
"sp2","R3","45Instar",0
"sp2","R4","45Instar",0
"sp2","R5","45Instar",0
"sp2","R6","45Instar",0
"sp2","R7","45Instar",1
"sp2","R8","45Instar",0
"sp2","R9","45Instar",0
"sp2","R10","45Instar",0
"sp2","R11","45Instar",0
"sp2","R12","45Instar",0
"sp2","R13","45Instar",1
"sp2","R14","45Instar",1
"sp2","R15","45Instar",0
"sp2","R16","45Instar",0
"sp2","R17","45Instar",1
"sp2","R18","45Instar",1
"sp2","R19","45Instar",1
"sp2","R20","45Instar",1
"sp1","R1","ovo_0",0
"sp1","R2","ovo_0",0
"sp1","R3","ovo_0",0
"sp1","R4","ovo_0",0
"sp1","R5","ovo_0",0
"sp1","R6","ovo_0",0
"sp1","R7","ovo_0",1
"sp1","R8","ovo_0",0
"sp1","R9","ovo_0",0
"sp1","R10","ovo_0",0
"sp1","R11","ovo_0",0
"sp1","R12","ovo_0",0
"sp1","R13","ovo_0",0
"sp1","R14","ovo_0",1
"sp1","R15","ovo_0",0
"sp1","R16","ovo_0",0
"sp1","R17","ovo_0",0
"sp1","R18","ovo_0",0
"sp1","R19","ovo_0",0
"sp1","R20","ovo_0",0
"sp1","R1","ovo_0",0
"sp1","R2","ovo_0",0
"sp1","R3","ovo_0",0
"sp1","R4","ovo_0",0
"sp1","R5","ovo_0",0
"sp1","R6","ovo_0",1
"sp1","R7","ovo_0",0
"sp1","R8","ovo_0",0
"sp1","R9","ovo_0",0
"sp1","R10","ovo_0",0
"sp1","R11","ovo_0",1
"sp1","R12","ovo_0",0
"sp1","R13","ovo_0",1
"sp1","R14","ovo_0",1
"sp1","R15","ovo_0",0
"sp1","R16","ovo_0",1
"sp1","R17","ovo_0",0
"sp1","R18","ovo_0",0
"sp1","R19","ovo_0",1
"sp1","R20","ovo_0",0
"sp1","R1","ovo_0",0
"sp1","R2","ovo_0",0
"sp1","R3","ovo_0",0
"sp1","R4","ovo_0",0
"sp1","R5","ovo_0",1
"sp1","R6","ovo_0",0
"sp1","R7","ovo_0",0
"sp1","R8","ovo_0",1
"sp1","R9","ovo_0",0
"sp1","R10","ovo_0",0
"sp1","R11","ovo_0",0
"sp1","R12","ovo_0",0
"sp1","R13","ovo_0",0
"sp1","R14","ovo_0",0
"sp1","R15","ovo_0",0
"sp1","R16","ovo_0",0
"sp1","R17","ovo_0",0
"sp1","R18","ovo_0",0
"sp1","R19","ovo_0",0
"sp1","R20","ovo_0",0
"sp1","R1","Instar_1",1
"sp1","R2","Instar_1",1
"sp1","R3","Instar_1",1
"sp1","R4","Instar_1",1
"sp1","R5","Instar_1",1
"sp1","R6","Instar_1",1
"sp1","R7","Instar_1",1
"sp1","R8","Instar_1",1
"sp1","R9","Instar_1",1
"sp1","R10","Instar_1",1
"sp1","R11","Instar_1",1
"sp1","R12","Instar_1",1
"sp1","R13","Instar_1",1
"sp1","R14","Instar_1",1
"sp1","R15","Instar_1",1
"sp1","R16","Instar_1",1
"sp1","R17","Instar_1",1
"sp1","R18","Instar_1",1
"sp1","R19","Instar_1",1
"sp1","R20","Instar_1",1
"sp1","R1","Instar_1",1
"sp1","R2","Instar_1",1
"sp1","R3","Instar_1",1
"sp1","R4","Instar_1",0
"sp1","R5","Instar_1",0
"sp1","R6","Instar_1",0
"sp1","R7","Instar_1",1
"sp1","R8","Instar_1",1
"sp1","R9","Instar_1",0
"sp1","R10","Instar_1",0
"sp1","R11","Instar_1",0
"sp1","R12","Instar_1",0
"sp1","R13","Instar_1",1
"sp1","R14","Instar_1",0
"sp1","R15","Instar_1",0
"sp1","R16","Instar_1",1
"sp1","R17","Instar_1",1
"sp1","R18","Instar_1",0
"sp1","R19","Instar_1",0
"sp1","R20","Instar_1",0
"sp1","R1","Instar_1",1
"sp1","R2","Instar_1",0
"sp1","R3","Instar_1",0
"sp1","R4","Instar_1",1
"sp1","R5","Instar_1",0
"sp1","R6","Instar_1",0
"sp1","R7","Instar_1",1
"sp1","R8","Instar_1",0
"sp1","R9","Instar_1",0
"sp1","R10","Instar_1",1
"sp1","R11","Instar_1",1
"sp1","R12","Instar_1",0
"sp1","R13","Instar_1",1
"sp1","R14","Instar_1",0
"sp1","R15","Instar_1",0
"sp1","R16","Instar_1",1
"sp1","R17","Instar_1",1
"sp1","R18","Instar_1",0
"sp1","R19","Instar_1",1
"sp1","R20","Instar_1",0
"sp1","R1","2Instar_3",1
"sp1","R2","2Instar_3",0
"sp1","R3","2Instar_3",0
"sp1","R4","2Instar_3",0
"sp1","R5","2Instar_3",0
"sp1","R6","2Instar_3",0
"sp1","R7","2Instar_3",0
"sp1","R8","2Instar_3",0
"sp1","R9","2Instar_3",0
"sp1","R10","2Instar_3",1
"sp1","R11","2Instar_3",0
"sp1","R12","2Instar_3",0
"sp1","R13","2Instar_3",0
"sp1","R14","2Instar_3",0
"sp1","R15","2Instar_3",0
"sp1","R16","2Instar_3",0
"sp1","R17","2Instar_3",0
"sp1","R18","2Instar_3",0
"sp1","R19","2Instar_3",0
"sp1","R20","2Instar_3",0
"sp1","R1","2Instar_3",0
"sp1","R2","2Instar_3",0
"sp1","R3","2Instar_3",1
"sp1","R4","2Instar_3",0
"sp1","R5","2Instar_3",0
"sp1","R6","2Instar_3",0
"sp1","R7","2Instar_3",0
"sp1","R8","2Instar_3",0
"sp1","R9","2Instar_3",0
"sp1","R10","2Instar_3",1
"sp1","R11","2Instar_3",0
"sp1","R12","2Instar_3",0
"sp1","R13","2Instar_3",0
"sp1","R14","2Instar_3",0
"sp1","R15","2Instar_3",0
"sp1","R16","2Instar_3",0
"sp1","R17","2Instar_3",0
"sp1","R18","2Instar_3",0
"sp1","R19","2Instar_3",0
"sp1","R20","2Instar_3",0
"sp1","R1","2Instar_3",0
"sp1","R2","2Instar_3",0
"sp1","R3","2Instar_3",0
"sp1","R4","2Instar_3",0
"sp1","R5","2Instar_3",1
"sp1","R6","2Instar_3",0
"sp1","R7","2Instar_3",0
"sp1","R8","2Instar_3",1
"sp1","R9","2Instar_3",1
"sp1","R10","2Instar_3",0
"sp1","R11","2Instar_3",0
"sp1","R12","2Instar_3",1
"sp1","R13","2Instar_3",1
"sp1","R14","2Instar_3",0
"sp1","R15","2Instar_3",0
"sp1","R16","2Instar_3",0
"sp1","R17","2Instar_3",1
"sp1","R18","2Instar_3",0
"sp1","R19","2Instar_3",1
"sp1","R20","2Instar_3",0
"sp1","R1","45Instar",0
"sp1","R2","45Instar",0
"sp1","R3","45Instar",0
"sp1","R4","45Instar",0
"sp1","R5","45Instar",0
"sp1","R6","45Instar",0
"sp1","R7","45Instar",0
"sp1","R8","45Instar",0
"sp1","R9","45Instar",0
"sp1","R10","45Instar",0
"sp1","R11","45Instar",0
"sp1","R12","45Instar",0
"sp1","R13","45Instar",0
"sp1","R14","45Instar",0
"sp1","R15","45Instar",0
"sp1","R16","45Instar",0
"sp1","R17","45Instar",0
"sp1","R18","45Instar",0
"sp1","R19","45Instar",0
"sp1","R20","45Instar",0
"sp1","R1","45Instar",0
"sp1","R2","45Instar",0
"sp1","R3","45Instar",0
"sp1","R4","45Instar",0
"sp1","R5","45Instar",0
"sp1","R6","45Instar",0
"sp1","R7","45Instar",0
"sp1","R8","45Instar",0
"sp1","R9","45Instar",0
"sp1","R10","45Instar",0
"sp1","R11","45Instar",0
"sp1","R12","45Instar",0
"sp1","R13","45Instar",0
"sp1","R14","45Instar",0
"sp1","R15","45Instar",0
"sp1","R16","45Instar",0
"sp1","R17","45Instar",0
"sp1","R18","45Instar",0
"sp1","R19","45Instar",0
"sp1","R20","45Instar",0
"sp1","R1","45Instar",0
"sp1","R2","45Instar",0
"sp1","R3","45Instar",0
"sp1","R4","45Instar",1
"sp1","R5","45Instar",0
"sp1","R6","45Instar",1
"sp1","R7","45Instar",0
"sp1","R8","45Instar",0
"sp1","R9","45Instar",0
"sp1","R10","45Instar",0
