"","simulation","distance","radius","error","tpvalue","sensitivity","specificity","accuracy","model","sill","range","sderror","stand"
"1",1,20,10,-0.0307827616534741,0.174974831330487,1,1,1,7,0.148119904923042,21.9205242735364,0.000280563541873467,"stand1"
"2",1,20,12.5,-0.00967458223394908,0.672239173201335,1,1,1,7,0.152356565843477,24.633675508057,0.00067060281672518,"stand1"
"3",1,20,15,-0.0123131046613897,0.589916778264679,1,1,1,7,0.140147553169406,29.162329629362,0.000857305157692843,"stand1"
"4",1,20,17.5,-0.000879507475813596,0.969411786328886,1,1,1,7,0.136654189755381,25.6936383661524,0.000747437347716278,"stand1"
"5",1,20,20,-0.00967458223394908,0.672239173201335,1,1,1,7,0.14103463031695,27.3507534140555,0.000899502681085704,"stand1"
"6",1,25,10,0.0140721196130167,0.541512597415686,1,1,1,3,0.121322839710394,78.1148354468449,0.000128741403410312,"stand1"
"7",1,25,12.5,-0.0914687774846087,3.60378663406256e-05,1,1,1,7,0.128613356044385,18.7792971608812,9.84394278375628e-05,"stand1"
"8",1,25,15,-0.0474934036939315,0.0351969784348751,1,1,1,7,0.136081370745613,24.5513354332529,0.000277048714681483,"stand1"
"9",1,25,17.5,-0.0360598065083554,0.111372131238008,1,1,1,7,0.136407063887077,31.0055358951146,0.000549457560027676,"stand1"
"10",1,25,20,0.0131926121372031,0.566962278374262,1,1,1,7,0.149701133107382,27.2690304645195,0.000486586402595816,"stand1"
"11",1,30,10,-0.0817941952506597,0.0002343195889406,1,1,1,3,0.112804556778676,34.3429006710261,0.000162288148271789,"stand1"
"12",1,30,12.5,-0.0861917326297275,0.000102726699278481,1,1,1,7,0.0957824263343951,38.3224459323595,0.000222591897536618,"stand1"
"13",1,30,15,-0.0668425681618295,0.00281434362734833,1,1,1,7,0.103746978588225,28.2418701639494,0.000197706938832032,"stand1"
"14",1,30,17.5,-0.0545294635004398,0.0153154197091855,1,1,1,3,0.132717269038218,41.274153070935,0.000409409127220688,"stand1"
"15",1,30,20,-0.0422163588390502,0.061727564006639,1,1,1,7,0.154659082339533,27.1835605873576,0.000504513282626793,"stand1"
"16",1,35,10,-0.185576077396658,1.39930789758035e-18,1,1,1,3,0.119260875837721,40.9703141130296,0.000119065670872369,"stand1"
