aluno,exito ,tempo,alvo,grupo,curso,tentativa_1,tentativa_2,tentativa_3,vez_exito
a1,0,0.125,0,GP_C,1,0,0,0,4
a2,1,0.054166667,1,GP_C,1,1,0,0,1
a3,1,0.014583333,1,GP_C,1,1,0,1,1
a4,0,0.100694444,0,GP_C,1,0,0,0,4
a5,0,0.125,0,GP_C,1,0,0,0,4
a6,1,0.048611111,1,GP_C,1,1,1,1,1
a7,0,0.115972222,0,GP_C,1,0,0,1,3
a8,0,0.125,0,GP_C,1,0,0,0,4
a9,1,0.027083333,0,GP_C,1,0,0,0,4
a10,0,0.125,0,GP_2,2,1,0,0,1
a11,1,0.021527778,0,GP_2,2,0,0,0,4
a12,0,0.125,0,GP_2,2,0,0,0,0
a13,1,0.041666667,1,GP_2,2,1,0,0,1
a14,1,0.059027778,0,GP_2,2,0,0,0,4
a15,1,0.140277778,0,GP_2,2,0,0,0,4
a16,0,0.125,0,GP_2,2,0,0,0,0
a17,1,0.022916667,1,GP_2,2,0,0,0,0
a18,0,0.125,0,GP_2,2,0,0,0,0
a19,1,0.056944444,0,GP_1,3,0,0,0,10
a20,1,0.059722222,1,GP_1,3,0,1,0,2
a21,0,0.125,0,GP_1,3,0,0,1,3
a22,1,0.046527778,1,GP_1,3,0,0,0,10
a23,1,0.089583333,0,GP_1,3,0,0,0,11
a24,1,0.019444444,1,GP_1,3,1,0,1,1
a25,1,0.059027778,0,GP_1,3,0,0,0,13
a26,1,0.027777778,1,GP_1,3,0,1,0,2
a27,0,0.125,0,GP_C,4,1,0,0,1
a28,1,0.100694444,0,GP_C,4,0,0,0,11
a29,0,0.125,0,GP_C,4,0,0,0,0
a30,1,0.055555556,0,GP_C,4,0,0,0,5
a31,0,0.095833333,0,GP_C,4,1,0,0,1
a32,1,0.026388889,1,GP_C,4,0,0,1,3
a33,0,0.125,0,GP_C,4,1,0,0,1
a34,0,0.125,0,GP_C,4,0,0,0,6
a35,1,0.044444444,1,GP_C,4,1,0,0,1
a36,1,0.021527778,1,GP_2,5,0,0,1,3
a37,1,0.052777778,0,GP_2,5,0,0,0,4
a38,0,0.125,0,GP_2,5,0,0,1,3
a39,1,0.1,1,GP_2,5,0,0,0,4
a40,1,0.058333333,1,GP_2,5,0,0,1,3
a41,1,0.122222222,0,GP_2,5,0,0,0,4
a42,1,0.065972222,0,GP_2,5,0,0,0,13
a43,1,0.03125,1,GP_2,5,0,0,0,5
a44,0,0.125,0,GP_2,5,0,0,0,11
a45,1,0.04375,0,GP_1,6,0,0,0,11
a46,1,0.049305556,0,GP_1,6,0,0,0,5
a47,0,0.125,0,GP_1,6,0,0,0,6
a48,1,0.022222222,1,GP_1,6,0,0,0,5
a49,0,0.125,0,GP_1,6,0,0,0,6
a50,1,0.018055556,1,GP_1,6,0,0,1,3
a51,1,0.025,1,GP_1,6,1,0,0,1
a52,1,0.025,0,GP_1,6,0,1,0,2
a53,1,0.114583333,0,GP_1,6,0,0,0,5
a54,1,0.0125,0,GP_1,7,0,0,0,8
a55,0,0.125,0,GP_1,7,0,0,0,14
a56,1,0.030555556,0,GP_1,7,0,0,1,3
a57,1,0.007638889,0,GP_1,7,0,0,0,10
a58,1,0.004861111,0,GP_1,7,0,0,0,6
a59,1,0.029861111,0,GP_1,7,0,0,0,12
a60,1,0.032638889,0,GP_1,7,0,0,0,7
a61,0,0.125,0,GP_1,7,0,0,0,6
a62,1,0.08125,0,GP_1,7,0,0,0,9
a63,1,0.09375,1,GP_2,8,0,0,1,3
a64,1,0.038888889,1,GP_2,8,0,0,1,3
a65,0,0.125,0,GP_2,8,0,0,1,3
a66,1,0.015277778,1,GP_2,8,0,1,1,2
a67,1,0.011111111,1,GP_2,8,0,0,1,3
a68,1,0.050694444,0,GP_2,8,0,0,1,3
a69,1,0.019444444,0,GP_2,8,0,1,1,2
a70,1,0.070833333,0,GP_2,8,0,0,0,13
a71,1,0.036111111,1,GP_2,8,0,0,1,3
a72,1,0.107638889,0,GP_C,9,0,0,0,13
a73,0,0.125,0,GP_C,9,0,0,0,8
a74,1,0.047222222,0,GP_C,9,0,0,0,4
a75,1,0.053472222,1,GP_C,9,0,0,0,11
a76,0,0.125,0,GP_C,9,0,0,0,17
a77,0,0.125,0,GP_C,9,0,1,0,2
a78,1,0.054861111,0,GP_C,9,1,0,0,1
