"","long","lat"
"8374",-39.66893005,-18.32560349
"8375",-39.7040329,-19.42361259
"8376",-40.24055862,-20.2838192
"8377",-40.34972382,-20.23472595
"8378",-40.41750336,-20.6166687
"8379",-40.81312561,-20.92819595
"8380",-41.02916718,-21.44889069
"8381",-40.97014236,-21.98250198
"8382",-41.76306152,-22.3461113
"8383",-41.98743439,-22.56569672
"8384",-42.03444672,-22.91917038
"8385",-43.09416962,-22.95333481
"8386",-43.07583618,-22.66833496
"8387",-43.25431061,-22.73659897
"8388",-43.14743423,-22.95180702
"8389",-43.2894516,-23.01305771
"8390",-43.99694824,-23.10305786
"8391",-43.60680771,-23.01888847
"8392",-43.8587532,-22.89680672
"8393",-44.23670578,-23.04829979
"8394",-44.35375214,-22.92041779
"8395",-44.67521286,-23.05569649
"8396",-44.57430649,-23.35368347
"8397",-44.94389343,-23.36222458
"8398",-45.41083527,-23.62889099
"8399",-45.41548538,-23.82805634
"8400",-45.89000702,-23.7677803
"8401",-46.27972412,-24.02583504
"8402",-46.3116684,-24.01889038
"8403",-46.27479553,-23.99104309
"8404",-46.30548859,-23.91909981
"8405",-46.38042068,-23.86875153
"8406",-48.02611542,-25.0150032
"8407",-47.91430664,-25.15236282
"8408",-48.20819855,-25.46014023
"8409",-48.13405609,-25.28473091
"8410",-48.39500427,-25.29611206
"8411",-48.48069763,-25.48014069
"8412",-48.71861267,-25.42472458
"8413",-48.36180878,-25.57944489
"8414",-48.7701416,-25.88409805
"8415",-48.58111572,-25.8722229
"8416",-48.58104324,-26.17569542
"8417",-48.79333496,-26.13222504
"8418",-48.48694992,-27.21347427
"8419",-48.62055969,-27.23708534
"8420",-48.56389618,-27.86444473
"8421",-48.76180649,-28.49069595
"8422",-48.85277939,-28.32027817
"8423",-48.84250641,-28.61777878
"8424",-49.75250244,-29.36972427
"8425",-50.74945068,-31.08111191
"8426",-52.06965637,-32.17194748
"8427",-52.0867424,-31.82680511
"8428",-51.86125565,-31.87291718
"8429",-51.25139618,-31.47166824
"8430",-51.15896225,-31.07784843
"8431",-50.97084045,-31.1222229
"8432",-50.56809998,-30.45755005
"8433",-50.60500336,-30.19402885
"8434",-50.96639252,-30.40888977
"8435",-51.27503967,-30.01055717
"8436",-51.26778412,-30.7808342
"8437",-51.37694931,-30.6511116
"8438",-51.46778107,-31.06097412
"8439",-51.96375275,-31.3373642
"8440",-52.21763992,-31.74500275
"8441",-52.2547226,-32.05528259
"8442",-52.09076691,-32.16437912
"8443",-52.63986588,-33.13375473
"8444",-53.43972778,-33.7922287
"8445",-54.14076614,-34.66465759
"8446",-54.31291962,-34.56285095
"8447",-54.27889252,-34.69070053
"8448",-54.89611816,-34.94361115
"8449",-55.69278336,-34.77507019
"8450",-56.15834045,-34.92722321
"8451",-57.11125565,-34.46417236
"8452",-57.83687592,-34.49278259
"8453",-58.42986679,-33.8350029
"8454",-58.36055756,-33.13097763
"8455",-58.1419487,-33.09889603
"8456",-58.04556274,-32.9347229
"8457",-58.20000458,-32.44833374
"8458",-58.14653015,-33.0454216
"8459",-58.42569733,-33.097435
"8460",-58.5319519,-33.51694489
"8461",-58.38528442,-34.05042267
"8462",-58.46972656,-34.53972626
"8463",-57.18833923,-35.32055664
"8464",-57.37667084,-35.96278381
"8465",-57.0533371,-36.31417084
"8466",-56.74534988,-36.31597519
"8467",-56.6783371,-36.9236145
"8468",-57.48403168,-37.83042145
"8469",-57.55194855,-38.11361694
"8470",-58.30111694,-38.48500061
"8471",-61.0944519,-38.99583435
"8472",-62.38514328,-38.80264282
"8473",-62.3275032,-39.26000595
"8474",-62.16597748,-39.28639221
"8475",-62.02437592,-39.38750458
"8476",-62.2748642,-39.33847427
"8477",-62.06875229,-39.50847626
"8478",-62.11708832,-39.83687592
"8479",-62.30917358,-39.89222717
"8480",-62.48875046,-40.30257034
"8481",-62.24750137,-40.60118484
"8482",-62.33833694,-40.67132187
"8483",-62.19531631,-40.62840652
"8484",-62.39000702,-40.90194702
"8485",-63.03639603,-41.14931107
"8486",-63.77472687,-41.1648674
"8487",-64.80445099,-40.72194672
"8488",-65.13014221,-40.84416962
"8489",-65.0136261,-42.09222412
"8490",-64.46445465,-42.26562881
"8491",-64.60087585,-42.40726089
"8492",-64.45195007,-42.44583893
"8493",-64.11347961,-42.43153
"8494",-64.06306458,-42.27861786
"8495",-64.32823944,-42.24618149
"8496",-63.75083542,-42.09000397
"8497",-63.57930756,-42.61500549
"8498",-63.68451691,-42.81576538
"8499",-64.09841156,-42.88854599
"8500",-64.39805603,-42.51583862
"8501",-64.95375061,-42.66111374
"8502",-64.98944855,-42.79459
"8503",-64.29653168,-42.99118423
"8504",-64.92986298,-43.23583603
"8505",-65.32681274,-43.66180801
"8506",-65.24945068,-44.31305695
"8507",-65.68904114,-44.71208954
"8508",-65.53730011,-44.89229202
"8509",-65.61112213,-45.02056122
"8510",-66.18278503,-44.96444702
"8511",-66.9465332,-45.25417328
"8512",-67.58435059,-46.00029755
"8513",-67.53361511,-46.42236328
"8514",-66.81855011,-46.98917007
"8515",-65.77528381,-47.1952095
"8516",-65.87042236,-47.75555801
"8517",-66.02958679,-47.76292038
"8518",-66.1138916,-47.81750488
"8519",-66.22911835,-47.84037781
"8520",-66.24362183,-47.8602829
"8521",-65.95681,-47.78639221
"8522",-65.78979492,-47.96583557
"8523",-67.58570099,-49.04042053
"8524",-67.82778168,-49.38639069
"8525",-67.60577393,-49.26409912
"8526",-67.89723206,-49.98583984
"8527",-68.27334595,-50.12333679
"8528",-68.59251404,-49.92861176
"8529",-69.00285339,-50.009655
"8530",-68.58493805,-49.98041916
"8531",-68.37319946,-50.1552124
"8532",-68.94111633,-50.38806152
"8533",-69.14361572,-50.88167191
"8534",-69.40597534,-51.07965469
"8535",-69.19250488,-50.96680832
"8536",-68.97006989,-51.57278061
"8537",-69.37445068,-51.55639648
"8538",-69.60951996,-51.62417221
"8539",-68.99014282,-51.62444687
"8540",-68.38278961,-52.32736206
"8541",-69.26848602,-52.2080574
"8542",-69.67569733,-52.52826691
"8543",-70.81167603,-52.7325058
"8544",-70.97660065,-53.76090622
"8545",-71.284729,-53.88639069
"8546",-72.11501312,-53.68764114
"8547",-72.45250702,-53.40430832
"8548",-72.28340912,-53.24500656
"8549",-72.11209106,-53.25764084
"8550",-72.22736359,-53.43552399
"8551",-72.10528564,-53.42972565
"8552",-71.86660004,-53.2228508
"8553",-71.78604889,-53.42951584
"8554",-72.00584412,-53.56541824
"8555",-71.79737091,-53.51278305
"8556",-71.73902893,-53.21520996
"8557",-71.32862091,-53.1000061
"8558",-71.16653442,-52.81069565
"8559",-72.01959229,-53.12430954
"8560",-72.30348206,-53.02944946
"8561",-72.51708984,-53.06236649
"8562",-72.18952179,-53.18271255
"8563",-72.64778137,-53.32597351
"8564",-72.40028381,-53.5402832
"8565",-73.29888916,-53.1607666
"8566",-72.71028137,-53.29403305
"8567",-72.79222107,-53.18409729
"8568",-72.65583801,-53.14910126
"8569",-72.9375,-53.1029892
"8570",-72.91584778,-52.82472229
"8571",-71.47528076,-52.63333893
"8572",-72.78979492,-52.54285049
"8573",-72.89889526,-52.62555695
"8574",-72.67834473,-52.66215515
"8575",-73.00584412,-52.85417175
"8576",-72.98042297,-53.06472397
"8577",-73.20348358,-53.10625076
"8578",-73.44934845,-53.00204849
"8579",-73.23500061,-52.88972473
"8580",-73.55645752,-52.8023262
"8581",-73.23188019,-52.78764343
"8582",-73.10111237,-52.50750351
"8583",-72.9180603,-52.4944458
"8584",-73.1497345,-52.48972321
"8585",-73.26597595,-52.66979599
"8586",-73.69361115,-52.72208786
"8587",-73.54993439,-52.54257202
"8588",-73.73167419,-52.0375061
"8589",-73.32181549,-52.22375488
"8590",-72.98625183,-52.07062531
"8591",-72.98667908,-52.1875
"8592",-72.86639404,-52.26389313
"8593",-72.784729,-52.06222534
"8594",-72.87549591,-52.20305634
"8595",-72.94334412,-52.08778381
"8596",-72.69423676,-51.98910141
