"temp,""generation"",""development"""
"constante,""G0"",22"
"constante,""G0"",24"
"constante,""G0"",22"
"constante,""G0"",27"
"constante,""G0"",27"
"constante,""G0"",24"
"constante,""G0"",25"
"constante,""G0"",26"
"constante,""G0"",27"
"constante,""G0"",18"
"constante,""G0"",20"
"constante,""G0"",22"
"constante,""G0"",24"
"constante,""G0"",27"
"constante,""G0"",27"
"constante,""G0"",25"
"constante,""G0"",27"
"flutuante,""G0"",31"
"flutuante,""G0"",25"
"flutuante,""G0"",24"
"flutuante,""G0"",26"
"flutuante,""G0"",34"
"flutuante,""G0"",27"
"flutuante,""G0"",25"
"flutuante,""G0"",33"
"flutuante,""G0"",27"
"flutuante,""G0"",30"
"flutuante,""G0"",30"
"flutuante,""G0"",27"
"flutuante,""G0"",31"
"flutuante,""G0"",29"
"flutuante,""G0"",31"
"flutuante,""G0"",29"
"flutuante,""G0"",29"
"constante,""G1"",24"
"constante,""G1"",27"
"constante,""G1"",24"
"constante,""G1"",24"
"constante,""G1"",25"
"constante,""G1"",25"
"constante,""G1"",26"
"constante,""G1"",24"
"constante,""G1"",24"
"constante,""G1"",24"
"constante,""G1"",25"
"constante,""G1"",27"
"constante,""G1"",24"
"constante,""G1"",27"
"constante,""G1"",23"
"constante,""G1"",24"
"constante,""G1"",24"
"constante,""G1"",24"
"constante,""G1"",29"
"flutuante,""G1"",27"
"flutuante,""G1"",27"
"flutuante,""G1"",27"
"flutuante,""G1"",27"
"flutuante,""G1"",30"
"constante,""G2"",24"
"constante,""G2"",24"
"constante,""G2"",26"
"constante,""G2"",24"
"constante,""G2"",23"
"constante,""G2"",25"
"constante,""G2"",23"
"constante,""G2"",24"
"constante,""G2"",23"
"constante,""G2"",22"
"constante,""G2"",24"
"constante,""G2"",24"
"constante,""G2"",21"
"constante,""G2"",22"
"constante,""G2"",22"
"constante,""G2"",24"
"constante,""G2"",24"
"constante,""G2"",21"
"constante,""G2"",21"
"flutuante,""G2"",28"
"flutuante,""G2"",36"
"flutuante,""G2"",33"
"flutuante,""G2"",31"
"flutuante,""G2"",33"
"flutuante,""G2"",31"
"flutuante,""G2"",31"
"flutuante,""G2"",31"
"flutuante,""G2"",35"
"flutuante,""G2"",30"
"flutuante,""G2"",35"
"flutuante,""G2"",34"
"flutuante,""G2"",31"
"constante,""G3"",22"
"constante,""G3"",20"
"constante,""G3"",26"
"constante,""G3"",22"
"constante,""G3"",22"
"constante,""G3"",22"
"constante,""G3"",22"
"constante,""G3"",22"
"constante,""G3"",22"
"constante,""G3"",24"
"constante,""G3"",21"
"constante,""G3"",23"
"constante,""G3"",21"
"constante,""G3"",23"
"constante,""G3"",25"
"constante,""G3"",23"
"constante,""G3"",24"
"constante,""G3"",23"
"constante,""G3"",27"
"flutuante,""G3"",28"
"flutuante,""G3"",27"
"flutuante,""G3"",29"
"flutuante,""G3"",28"
"flutuante,""G3"",28"
"flutuante,""G3"",31"
"flutuante,""G3"",27"
"flutuante,""G3"",28"
"flutuante,""G3"",27"
"constante,""G4"",23"
"constante,""G4"",24"
"constante,""G4"",22"
"constante,""G4"",31"
"constante,""G4"",24"
"constante,""G4"",23"
"constante,""G4"",23"
"constante,""G4"",24"
"constante,""G4"",32"
"constante,""G4"",25"
"constante,""G4"",26"
"constante,""G4"",25"
"constante,""G4"",26"
"constante,""G4"",26"
"constante,""G4"",25"
"constante,""G4"",25"
"constante,""G4"",26"
"constante,""G4"",25"
"flutuante,""G4"",30"
"flutuante,""G4"",28"
"flutuante,""G4"",28"
"flutuante,""G4"",29"
